t,epo_level,CISHRNA_Obs
6,0,0.000203996251781371
6,0,0.000216398641717389
6,4.2857e-08,0.000205499998431368
6,4.2857e-08,0.000207604253630129
6,1.4286e-07,0.000205360765042128
6,1.4286e-07,0.000210825397862156
6,4.2857e-07,0.000206069848924925
6,4.2857e-07,0.000214881083578315
6,1.4286e-06,0.000196385837878829
6,1.4286e-06,0.000208772706662583
6,4.2857e-06,0.000195742960376165
6,4.2857e-06,0.000212196589669947
6,1.4286e-05,0.000195485960921701
6,1.4286e-05,0.000204376101433149
6,4.2857e-05,0.000203013179415918
6,4.2857e-05,0.000206169058056514
