t,STAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA4_Obs
0,64.9396539019708,0.00191239993349973,-0.425789147787334,0.00132601236892214
15,4.71360321347293,NaN,-0.456413649665023,0.00624914831592633
20,NaN,0.00931169151384376,NaN,NaN
35,9.38451764324844,NaN,2.87708658537839,0.0142151564692685
40,NaN,0.0258846297764861,NaN,NaN
50,15.3672347219831,NaN,NaN,NaN
55,NaN,NaN,3.53331485037548,0.0165065747312043
60,NaN,0.0505666358264853,NaN,NaN
70,25.5231740702849,NaN,5.31572476606147,NaN
75,NaN,NaN,NaN,0.0138135244417605
85,NaN,0.0550116852424914,NaN,NaN
90,34.8247634179977,NaN,NaN,NaN
95,NaN,NaN,9.73952314456617,NaN
100,33.1367496693736,0.0491411731067564,9.84119930153105,0.0118666978704844
150,36.9496904208661,0.0365297543933031,8.16546130104588,0.00865437511371598
200,31.2545092103667,0.0222010124567721,10.5732295371196,0.00678122901236706
250,40.1898219807324,0.0294571043828228,10.1116676949681,0.00561589238231918
300,30.6791692311568,0.0338753217439891,7.14524489232415,NaN
350,NaN,NaN,8.86464513771585,NaN
450,NaN,NaN,9.19178567386976,NaN
