t,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHRNA_Obs
0,3.55445575238291,-0.00950326702745356,-0.0481695057463544,0.000189516227748932
9,2.06648999284088,NaN,NaN,NaN
10,NaN,1.14766902175484,NaN,NaN
20,1.67150699944499,0.740677205745523,1.90094917603484,NaN
25,NaN,NaN,NaN,0.00140259165157677
30,2.38897922537269,NaN,NaN,NaN
35,NaN,0.319008810514828,0.732064177928453,NaN
40,2.70274935907007,NaN,NaN,NaN
45,NaN,0.37533472290625,NaN,NaN
50,2.61703842429673,NaN,NaN,0.00273540588815678
55,NaN,NaN,0.992136880167668,NaN
60,NaN,0.617929310647052,NaN,NaN
65,2.30117129524236,NaN,NaN,NaN
75,NaN,NaN,1.49022995256171,NaN
80,NaN,0.692896375797023,NaN,0.00299344635375597
85,2.0273133687392,NaN,NaN,NaN
100,2.11872663131714,0.670002686217256,1.37488833779582,0.00376965808779645
150,2.14849611566574,0.674988297721103,1.36614668303286,0.00406421686683107
200,NaN,NaN,1.24381750910907,0.00398201345619364
250,NaN,NaN,1.27276707367135,0.00378189832764538
300,NaN,NaN,1.30432192496595,0.00397250845787999
350,NaN,NaN,1.25523055369648,0.00382419343359727
450,NaN,NaN,1.17073820263721,0.00393969145967916
