t,EpoRJAK2_Obs,CIS_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,0.785618520610909,0.0441341682323204,0.000672197399370951,3.6372418891009
35,0.0743882305708983,NaN,0.000641606470461077,2.5806182812191
40,NaN,0.119430724710823,NaN,NaN
70,NaN,NaN,0.00294157878594252,2.14575282781038
75,0.0626168036749756,NaN,NaN,NaN
80,NaN,0.351573762647687,NaN,NaN
100,0.0685949778605156,0.504563903079342,0.00242510052009384,1.99773432257532
150,0.078261493191506,0.751201735170845,0.00211543054354314,2.2352395955445
200,0.0708571917505813,0.879485279904713,0.00178784181305722,2.17588420038769
250,NaN,NaN,0.00161810975949689,2.21785015148235
300,0.0855803960181537,1.02180151146979,NaN,NaN
350,0.0860073733451612,1.06702624979804,0.00152598118404702,2.22435274830521
400,NaN,1.06683424704761,NaN,NaN
500,NaN,1.03344932134587,NaN,NaN
600,NaN,1.000845798886,NaN,NaN
