t,EpoRpJAK2_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHRNA_Obs
0,-0.000244757264035922,0.385610922659307,-0.31742050184719,-0.000725897500684815
9.5,NaN,51.2252480398174,NaN,NaN
10,NaN,NaN,9.27926712335671,0.00104825869404179
15,0.145819098189184,NaN,NaN,NaN
20,NaN,45.5275679586636,19.9596099838657,0.0246093031640555
30,0.138497712772439,36.709757036434,24.9261348066376,0.0917865208106262
40,NaN,29.7606054247609,NaN,NaN
45,NaN,NaN,24.6391261873738,0.206204731942866
50,0.127857297000878,NaN,NaN,NaN
55,NaN,21.6777323141256,NaN,0.227649360703531
60,NaN,NaN,22.1241606989789,NaN
65,0.113348138538722,NaN,NaN,NaN
70,NaN,15.1479231588261,NaN,0.257962914754814
75,NaN,NaN,16.7685913818939,NaN
85,0.109999075100723,NaN,NaN,NaN
90,NaN,10.4959264077015,NaN,0.20324489314938
95,NaN,NaN,12.5427076733341,NaN
100,0.116830399882862,8.72958111399715,11.4716991138837,0.174638619560263
150,0.142469306890479,8.80709441472936,7.68783667370846,0.0890905901585095
200,0.133013455884602,NaN,7.78898636026325,NaN
250,0.128772590343893,NaN,NaN,NaN
300,0.118674993536868,NaN,NaN,NaN
