t,epo_level,CIS_Obs,SOCS3nRNA4_Obs
20,6.6667e-07,0.0584247910144496,0.000749637386966633
20,6.6667e-07,0.0568037028470472,0.000627826102374334
20,1.3333e-06,0.0606353421696039,0.00055460028145526
20,1.3333e-06,0.0683917915959361,0.000535731497616603
20,2.6667e-06,0.0528032679899023,0.000569608614447078
20,2.6667e-06,0.0598422368986229,0.000664931154598805
20,5.3333e-06,0.0444559838862624,0.000503457147373302
20,5.3333e-06,0.0464789401312767,0.000487010605050568
20,1.0667e-05,0.0506884314273944,0.000566296550759855
20,1.0667e-05,0.0626709596765358,0.000575802418068917
20,2.1333e-05,0.05334473992353,0.000602809168997655
20,2.1333e-05,0.05617112266454,0.000724471097886933
20,4.2667e-05,0.0586979843979512,0.000765299817921667
20,4.2667e-05,0.0588991000249128,0.000664662702738603
