t,EpoRpJAK2_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHRNA_Obs
0,1.92490768768767e-05,0.0022146579831715,0.00589984861698622,0.00031106192551945
15,0.144046437677521,0.089177216631893,0.0117977828618587,0.000261748005311942
25,0.108668460417788,NaN,NaN,NaN
30,NaN,0.22537793801732,0.077163122371163,NaN
35,NaN,NaN,NaN,0.000569244091383343
40,0.0787131570007383,NaN,NaN,NaN
45,NaN,0.221137030241142,0.135019977570539,NaN
50,NaN,NaN,NaN,0.00105812948874473
55,0.0736275270736731,NaN,NaN,NaN
65,NaN,0.193725146420155,0.157948019878168,NaN
70,0.0694544701092184,NaN,NaN,0.00168427794110649
85,NaN,0.175024983204636,0.155088752650685,NaN
90,0.0663971039894366,NaN,NaN,NaN
95,NaN,NaN,NaN,0.00186194878464242
100,0.0684854596475313,0.148666551746236,0.136939171063938,0.00187245482459906
150,0.0632658443952943,0.110908835826434,0.103064588409867,0.00163399399873489
200,0.056768530939351,0.107646948503631,0.0866330559767684,0.00131469008761842
250,NaN,0.0908948443449233,0.080884234329728,0.00119322242892473
300,NaN,NaN,0.0764705053945485,0.00108046465444138
