t,CISHRNA_Obs,CIS_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,0.000213054008027967,0.0549222781898401,0.00068006260274678,3.54443324802524
5,NaN,NaN,0.000408204317534225,NaN
9,NaN,NaN,NaN,3.74508792778284
10,NaN,NaN,0.000371094552593447,NaN
15,0.000190213644484659,NaN,0.000405548033947529,NaN
20,NaN,0.0561085885550206,NaN,3.81805771884502
25,NaN,NaN,0.000396999580893932,NaN
30,0.000170529263110982,NaN,0.000421104390245092,3.71834220731683
40,NaN,NaN,0.000385289809719017,3.58211440320327
45,0.000142812632827856,0.0526665784140425,NaN,NaN
55,NaN,NaN,NaN,3.36903169798978
60,0.000139280350193558,NaN,NaN,NaN
65,NaN,0.0493970988914792,NaN,NaN
70,NaN,NaN,NaN,3.72156858530717
75,0.000134363286062592,NaN,NaN,NaN
90,NaN,NaN,NaN,3.66502107598727
95,NaN,0.0472531290634229,NaN,NaN
100,0.000118451158000723,0.0416799696488437,NaN,NaN
150,0.00011574119537206,0.040083347572926,NaN,NaN
200,0.000124852898887548,0.0343737923466426,NaN,NaN
250,NaN,0.0355139770547712,NaN,NaN
