t,epo_level,CISHRNA_Obs
39,2.5e-09,0.00222232824585661
39,2.5e-09,0.00233053747606362
39,2.5e-09,0.00509497023140893
39,2.5e-08,0.0737394390747772
39,2.5e-08,0.0787188241514252
39,2.5e-08,0.0807639160426033
39,1.25e-07,0.163200301977707
39,1.25e-07,0.165799859381817
39,1.25e-07,0.169397326518232
39,2.5e-07,0.179030572336819
39,2.5e-07,0.182337647723148
39,2.5e-07,0.188416022557362
39,1.25e-06,0.194929530734712
39,1.25e-06,0.197543068881667
39,1.25e-06,0.203490298239445
39,2.5e-06,0.201300260015753
39,2.5e-06,0.204521248579915
39,2.5e-06,0.209788427548958
