t,EpoRJAK2_Obs,EpoRpJAK2_Obs,pEpoRpJAK2_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISHRNA_Obs,CIS_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3_Obs,Compound_1_Obs
0,3.09875130922572,-0.00404190713824044,0.00146394334799976,65.8283876301867,0.0300345763233494,0.398821763169687,0.00517478314753761,1.3894399357155,0.0071027493667892,0.0105556340678827,5.36585789671452,64.8647293396793
15,2.07102802647106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,1.75900650932158,NaN,19.6486573244327,0.0165885664673639,NaN,NaN,NaN,5.69714611333049,5.28404281934031
25,2.40207809420732,0.147233596669644,0.416766988968172,NaN,NaN,NaN,NaN,NaN,0.0499176097274883,0.0359109393378083,NaN,NaN
30,NaN,NaN,NaN,NaN,36.618092291511,NaN,NaN,2.94991519111516,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,10.5438122401913,NaN,NaN,NaN,NaN,NaN,NaN,16.5729924464696,NaN
40,2.55921528918909,NaN,NaN,NaN,NaN,25.0014266114599,0.171405338921494,NaN,NaN,NaN,NaN,12.6063048658067
50,NaN,NaN,0.137076809032526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,2.85728222364706,0.115864308349189,NaN,21.9393310091146,NaN,NaN,NaN,NaN,0.066980452335601,0.0666770492151207,32.3104057825053,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,0.25008890907313,17.3368092877855,NaN,NaN,NaN,26.2243885660845
65,NaN,NaN,NaN,NaN,16.8450809280593,20.5856001259894,NaN,NaN,NaN,NaN,NaN,NaN
75,2.81632479444584,NaN,0.096849156358908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.9528348146319,NaN
80,NaN,NaN,NaN,37.1051480448178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.8799539123069
85,NaN,0.115061553321006,NaN,NaN,NaN,NaN,0.217088763377477,NaN,0.0462253794760255,0.0504689949066192,NaN,NaN
90,3.09259094291767,NaN,NaN,NaN,NaN,13.8456817504634,NaN,28.4770475732404,NaN,NaN,NaN,NaN
100,2.82542221823231,0.119886535417172,0.111422138329038,44.8278633571156,8.60672232467728,11.7599625355655,0.182081947911528,NaN,0.0366751293181629,0.0413045712806172,32.3163047056089,46.0070962669892
150,2.71636229330357,0.139413492311624,0.171727202187945,48.6273209101304,8.47141416837355,6.8438522280952,0.0878649630863903,32.4100750491765,0.0223714344029462,0.0208307128797341,16.2100706423329,51.5354448139702
200,2.77265669663666,0.133073817050628,0.165055976456361,46.580380812844,10.7581846677799,7.8706198200619,0.076050569118988,27.3255567545904,0.0242820537444805,0.0219502193893862,14.741085918995,46.5687964123409
250,2.78114092174927,0.126676907714259,0.154127158635127,44.6201637814777,9.77693746029549,8.71591459815423,0.0975121721986739,25.2969481617262,0.0238514032822405,0.0255022385536253,15.4800700079193,47.1921931773439
300,NaN,NaN,NaN,47.4524194540923,9.56186392408252,7.86095685342881,NaN,24.2546322044872,NaN,NaN,NaN,47.239237587813
350,NaN,NaN,NaN,NaN,9.30082135161888,7.56100031386117,NaN,NaN,0.0228573957969749,0.025101713699952,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.6137125922929,NaN,NaN,NaN,NaN
450,NaN,NaN,NaN,NaN,9.4138371633758,NaN,NaN,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,9.5068459213767,NaN,NaN,20.9763875908867,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5196944305912,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,9.29546998743445,NaN,NaN,NaN,NaN,NaN,NaN,NaN
