t,EpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs,SOCS3nRNA2_Obs,SOCS3_Obs
0,-0.00235094861271342,64.1779191867744,-0.00358332718929563,0.00672235895655597,5.05317234856577
5.5,0.139062029384376,35.6933778723594,NaN,NaN,NaN
8,NaN,NaN,NaN,0.00953739664058415,NaN
9,NaN,NaN,NaN,NaN,5.3096266405174
10,0.147004314614503,27.4117099554102,0.00332898542840229,NaN,NaN
15,0.143093686034079,25.5730736657093,NaN,0.0170760120177866,NaN
20,NaN,NaN,0.0158925837891092,NaN,5.1250950740585
25,0.131426683154875,26.23735872751,NaN,0.0335165296150095,7.05452148404351
30,0.120943354235133,24.6847646803185,NaN,NaN,NaN
35,0.116850395502364,NaN,0.0876089843978856,0.0427529848916244,10.7566459218928
40,NaN,31.2661338498424,NaN,NaN,NaN
45,0.103430604988236,33.1373214460795,0.136986088360127,0.046641209365511,NaN
50,NaN,NaN,NaN,NaN,18.9251716005844
55,0.0881170350642789,34.9125789469469,NaN,NaN,NaN
60,NaN,NaN,0.164056011552766,0.0424231373414642,24.1974889146862
65,0.0892228245115517,NaN,NaN,NaN,NaN
70,NaN,39.7016840499078,NaN,0.038545314344469,NaN
75,NaN,NaN,NaN,NaN,25.0909193070066
80,0.0899364920957482,NaN,0.155568997548668,NaN,NaN
85,NaN,48.1644580052423,NaN,0.0307732155237947,NaN
90,NaN,NaN,NaN,NaN,23.1221004382819
95,0.0878735935200398,NaN,0.127841849066151,NaN,NaN
100,NaN,50.5961464168978,0.12391715027998,0.0252270942420436,20.9508236190808
150,NaN,NaN,0.056735587697123,0.015452857985058,12.1043367143529
200,NaN,NaN,0.0390221547325239,NaN,8.69311331493271
