t,CIS_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,0.078863206465496,0.00775220757090483,74.850207761227
4,NaN,0.00787788094222853,NaN
5.5,NaN,NaN,59.6717093311901
8.5,NaN,0.00562642549686899,NaN
10,NaN,NaN,62.0939153741499
15,NaN,0.00333674156474104,67.4401629792522
20,0.077645806921118,0.00192312385386436,NaN
25,NaN,0.00172693840657607,66.3940828912781
30,NaN,0.00137925698887151,64.6101283193389
35,NaN,0.00147317767306364,NaN
40,0.0669152547967663,0.000889212994966088,56.3952086022788
50,NaN,0.00137962587867821,NaN
60,NaN,0.00294279485651427,NaN
65,0.0581285984729911,NaN,NaN
75,NaN,0.0022989781065339,NaN
85,0.0352793844584,NaN,NaN
100,0.0507762216739657,NaN,NaN
150,0.0283289266367129,NaN,NaN
200,0.0354468554238121,NaN,NaN
250,0.0304248511489603,NaN,NaN
300,0.0188125971387501,NaN,NaN
400,0.0131210446689966,NaN,NaN
