t,EpoRpJAK2_Obs,STAT5_Obs,CISHRNA_Obs
0,0.000578413833304145,63.4892909044766,0.00132251448691426
15,0.149242696790771,1.15520800924892,0.0011243963623101
30,NaN,NaN,0.0238653683765492
35,0.158056140666996,9.11393694147261,NaN
50,0.141678615248512,15.9686479192173,0.053881727777622
65,NaN,NaN,0.0606317761346393
70,0.143094735020281,25.6283957629904,NaN
90,NaN,32.4468632997086,0.0529680339142924
95,0.130948648578947,NaN,NaN
100,0.140175753321997,31.1998367810955,0.0473780134897106
150,0.144113455010143,35.9823311261519,0.0335728747122492
200,0.132763074197491,34.9723775475673,0.0330349215571754
250,0.136290597787065,37.3553690156804,0.0331160610917766
300,0.135951714971132,37.8520362353818,NaN
