t,EpoRJAK2_Obs,EpoRpJAK2_Obs,Compound_1_Obs
0,0.65483947066968,-0.16090438578153,2.02265044923705
10,0.786500208661029,NaN,NaN
15,NaN,0.0287776606004324,3.9630941238513
25,0.853886177833405,0.0899262346138451,NaN
30,NaN,NaN,3.57379250094059
40,0.905537585579557,NaN,NaN
45,NaN,0.0296793839777062,3.8550297916827
55,0.570390687724954,NaN,NaN
60,NaN,-0.0698788465349881,3.68490121598043
75,0.886869043858511,NaN,NaN
80,NaN,0.277010615170954,3.76894480331129
95,0.933006486490824,NaN,NaN
100,NaN,0.0867746874570873,3.53573180247755
