t,K27me0K36me0_Obs,K27me0K36me1_Obs,K27me1K36me0_Obs,K27me0K36me2_Obs,K27me1K36me1_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me1K36me2_Obs,K27me2K36me1_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me2K36me2_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,K27me3K36me2_Obs
0,0.00231307449010059,0.0128299883797495,0.00215608295587965,0.115868991036021,0.00810719603811272,0.00975461003746095,0.036489528442205,0.584648974937268,0.0158232908919417,0.00347916423515412,0.17950090589522,0.0358429404680111,0.00389591648256237,0.0035813511943977,0.00180033538747679
0.35,0.000179546677723447,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7,5.45184630981248e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,-4.18789262912891e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,8.38140542283056e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,-3.00515951305438e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.5,-9.21638546386073e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,-1.19195393435124e-06,NaN,NaN,NaN,NaN,NaN,0.0576896184402632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,0.00422470064761677,0.00183824351619691,0.107452610560779,0.00933215171977009,NaN,NaN,0.652206109384462,NaN,NaN,0.170915282756098,0.0462832416342908,NaN,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.00774294424027462,NaN,NaN,0.0142698954868211,0.00465777779077754,NaN,NaN,NaN,0.00471636708424144,0.00247444517865018
5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00434445084162898,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0724382492666188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.00218422259363772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,0.00314494978339978,NaN,0.0758462770435156,0.00995556057469638,NaN,NaN,0.673175716704217,NaN,NaN,0.195980299992296,0.0379675789950494,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,0.00845956499015349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0730769613854081,NaN,0.0149940641227472,0.00451518997716015,NaN,NaN,NaN,0.00557561950783809,0.00272432558911619
10,NaN,NaN,0.00134033052853991,NaN,0.00900435057612117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00392055297357565,NaN,NaN
15,NaN,0.00243491202602785,0.00188454883954492,0.0526999635470342,0.00766290910926556,0.00822741784373164,0.0717522354690983,0.586902005363711,0.0148871895161577,0.00491350735602929,0.227936969045834,0.0292311180240135,0.0039027813381261,0.00587963737584997,0.00212924989883708
20,NaN,0.00172149628132166,0.00187737690358806,0.0449187422012805,0.00980199663997501,0.00957362911748007,0.0784694721605895,0.58678786837878,0.0145189028724363,0.00412852070278479,0.223850512721637,0.0378167651254026,NaN,0.0059486354914678,0.0022038928483041
25,NaN,0.00114172421833632,0.00144146550144859,0.0342273916855253,NaN,NaN,0.0668012347180046,0.514523145508956,NaN,NaN,0.223981117048034,0.0399320086253114,0.00453365243841773,NaN,NaN
30,NaN,0.000952613873206062,0.00207369145384375,0.0289506137801385,0.00865206285728908,0.00965435812169357,NaN,0.584735174996513,0.0128287790945185,0.00539284337728298,0.212965579363166,0.032625348087599,NaN,0.00592522593359822,0.00283715758627653
35,NaN,NaN,0.00195295196611815,NaN,0.00739277335144351,0.00885837700010709,0.0599353624922889,NaN,0.012006217719679,0.00553797157055575,NaN,NaN,0.00396578428463617,NaN,NaN
40,NaN,0.00058613082947762,NaN,0.0173260654292436,0.00723653080301607,NaN,0.0700026937190998,0.619231656858993,NaN,NaN,0.214749940363704,0.0370989713448325,NaN,0.00477697238921176,0.00354344562573937
45,NaN,NaN,0.00190666491643372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0034095289018541,NaN,NaN
50,NaN,-7.74169442351227e-05,NaN,0.00533147941813676,0.00971660184760554,0.00921335283996031,0.0476872215394491,0.669630921692303,0.0178141339891324,0.00504818323529125,0.266646495765385,0.0401526366601677,NaN,0.00690170137137882,0.00276819767842696
55,NaN,NaN,0.00175839406256838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.000964492124730827,0.00203813562802165,-0.00224846063555656,0.00939461593650692,0.0110293110034987,NaN,0.755354565256306,0.0123232064677032,0.00512590258653855,0.232054152479496,0.042552313683675,0.00471468222328567,0.00577187737836458,0.00297186107715832
