t,Rec2_Obs,IR1_Obs,Uptake2_Obs
0,1087.57564949006,-0.0870094388842227,16.0833153153099
6.5,NaN,2.92127857963275,NaN
8.5,854.775722187399,NaN,NaN
9,NaN,NaN,276.037887693577
15,885.866785281054,2.57203203093404,NaN
20,NaN,2.38299463615408,330.827029766087
25,860.536898422925,NaN,355.302552781462
30,NaN,1.95700049439587,NaN
35,850.053671043295,2.17956841858016,423.497879126547
45,846.984658253205,1.93213888743582,NaN
50,NaN,NaN,511.05866348972
55,950.851918168387,1.8604521599434,NaN
60,NaN,NaN,429.590849291869
65,NaN,1.71988748022549,NaN
70,825.713957227839,NaN,NaN
75,NaN,NaN,509.36644729797
80,832.901600217578,1.71213672295463,NaN
90,NaN,NaN,613.803997390921
95,892.030502081861,1.47164243258311,NaN
100,851.213651365357,1.43479031799199,566.773475058475
150,843.218600713217,0.939873737279613,658.1195510275
200,889.46297438427,NaN,726.564649038775
