t,Rec2_Obs,IR1_Obs,Uptake2_Obs
0,1069.04594816667,0.52529663653669,-3.61815133535174
4.5,NaN,13.9318423293649,NaN
7.5,229.139945045251,NaN,NaN
8,NaN,NaN,837.113506041903
9,NaN,10.4279129456809,NaN
15,209.219544717783,9.16355585160478,1090.78604992476
20,NaN,9.31559542340032,NaN
25,175.262756931938,8.25360144091702,1252.26143758816
30,236.513253084395,NaN,NaN
35,NaN,7.15846059925648,1464.11846817044
40,188.346043302,7.65736470051203,NaN
45,NaN,NaN,1616.90511567834
50,182.597869003081,7.83389560595543,NaN
55,NaN,NaN,1861.12425434066
60,NaN,8.50455824219878,NaN
65,170.246203716234,NaN,1605.25602113487
75,174.224224490796,6.76806741426229,NaN
80,NaN,NaN,2115.33100283393
90,157.981623066587,NaN,NaN
95,NaN,NaN,2418.73139022909
100,190.004058514714,NaN,2566.26665575415
150,227.887960322843,NaN,2841.95418612759
200,276.12839546866,NaN,3802.61241357577
