t,Rec2_Obs,IR1_Obs,Uptake2_Obs
0,1051.36396705522,-0.00482062016723825,-1.91340600457247
8,NaN,0.283390026995983,NaN
9.5,NaN,NaN,27.7986019759458
10,891.645935226718,NaN,NaN
15,NaN,0.250326028406636,NaN
20,957.291765343482,NaN,38.4305950694684
25,NaN,0.225001868483969,NaN
30,921.097929206651,NaN,44.5702088544282
35,NaN,0.229062898610369,NaN
40,NaN,NaN,48.1356330310015
45,1195.3245415841,0.184014766576406,NaN
55,1003.94566834651,0.187575478475671,60.3194477741065
65,NaN,0.197701819371428,58.2002501671608
70,1092.26346534045,NaN,NaN
80,NaN,0.130965120265917,NaN
85,1079.0517433409,NaN,64.0814368377924
100,1079.51412800804,0.0924322083041076,69.036179577946
150,954.022069478703,0.101365538859798,78.5469437936274
200,1106.35380491081,NaN,82.6688533570485
