t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,1.42920936842804,1.34361599979059,-26.0601510015474,226.011920813978,383.834328485348,414.467484090521,-2.21220307600325,-60.0181718723986
10,NaN,NaN,NaN,228.357115652543,NaN,NaN,7.51282013580973,-9.26388643828786
15,3.70290891164691,3.56506265993152,63.9993663237602,NaN,296.520603158241,335.905417689972,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,NaN,-19.2196152250464,-6.20250909987491
25,NaN,3.33127513017164,13.974529583334,233.231686348322,NaN,267.845273418494,NaN,NaN
30,3.96541896167832,NaN,NaN,NaN,285.491825031204,NaN,155.19416730343,NaN
35,NaN,NaN,NaN,242.718696320083,NaN,NaN,NaN,94.1701877088733
40,NaN,2.70279249822422,68.6367378859199,NaN,NaN,248.001563020288,NaN,NaN
45,3.26773784094315,NaN,NaN,NaN,269.651935367171,NaN,170.170945800479,248.820668217938
50,NaN,NaN,NaN,248.650249202253,NaN,NaN,NaN,NaN
55,NaN,2.74955941649914,111.639950559941,NaN,NaN,252.445986209173,329.294845466268,NaN
60,3.53693345351715,NaN,NaN,NaN,271.87168315917,NaN,NaN,418.058557529101
65,NaN,NaN,NaN,216.580257611564,NaN,NaN,NaN,NaN
70,NaN,2.54075813059487,170.943274315084,NaN,NaN,NaN,489.516320331354,NaN
75,3.5245893214573,NaN,NaN,NaN,NaN,242.900965838551,NaN,466.624794255855
80,NaN,NaN,NaN,233.171839399453,288.507251433877,NaN,NaN,NaN
85,NaN,NaN,NaN,NaN,NaN,NaN,539.220631960693,NaN
90,NaN,1.9681929660745,286.682034110019,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,247.638149232448,NaN,526.657483444265
100,2.8773781776521,2.2778051531476,317.681314447286,220.685800868707,242.334744036539,251.172420978909,629.149166121539,565.700930335846
150,2.39632428466259,1.84134092279512,500.282393249443,199.963694972545,317.234527096229,257.551204465172,833.610511118767,808.594480120876
200,2.65416955033154,1.8864999095941,622.264824464627,183.190223345645,243.528044122749,267.114369571984,1002.66394598335,1041.21717192483
250,2.29223869319543,2.02964042621199,793.941906673552,243.228873660817,236.662087485532,260.393249606293,1098.9236856258,1200.09077616672
300,NaN,NaN,965.232339703823,215.53997961851,270.027695646264,NaN,1262.16519464102,1299.20514698689
