t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,1.17483886689593,1.49515780872506,233.649484559391,429.764021227023,404.259887336377
3.5,1.35121692768512,NaN,NaN,NaN,NaN
4.5,NaN,1.55179982958217,202.087436966626,393.579502446537,369.670104866031
7.5,1.40574311059227,NaN,NaN,NaN,NaN
9,NaN,1.80497566863685,211.138954289661,NaN,399.566240480642
9.5,NaN,NaN,NaN,424.490982032419,NaN
10,1.24982733048275,NaN,NaN,NaN,NaN
15,1.23581459331486,1.43793063962177,260.530446221171,435.411836928805,419.358091262479
20,NaN,1.95421986859282,219.09027317748,317.22519960162,402.613002430341
25,1.30564398681336,1.60587060858813,251.724389597123,NaN,336.763104217895
30,1.28757190253797,NaN,NaN,402.266165105366,NaN
35,NaN,1.8608336964573,240.464019338819,393.993719896688,394.043149656914
