t,Compound_3_Obs,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs,Compound_9_Obs
0,8.82042877357926,248.989519903276,428.453935692008,444.043839668806,8.36036898887293
10,11.2258187490203,224.195171920683,NaN,355.327522376382,NaN
15,NaN,NaN,368.636404807351,NaN,30.8481567839834
25,43.8745096186388,238.642033662475,260.892244300436,316.604708343453,NaN
30,NaN,NaN,NaN,NaN,122.300239990594
35,NaN,NaN,NaN,285.449861799026,NaN
40,76.416850470733,229.519838721415,251.324070946169,NaN,NaN
45,NaN,NaN,NaN,NaN,171.545819520147
50,91.9330285706443,NaN,NaN,312.323388614662,NaN
55,NaN,228.539974845507,311.107725689478,NaN,NaN
65,143.203600299634,NaN,NaN,276.115276030704,332.76068357931
70,NaN,228.676545009685,281.422790750476,NaN,NaN
80,NaN,NaN,NaN,266.859560075384,NaN
85,198.178446858801,225.332491864787,NaN,NaN,417.775238032621
90,NaN,NaN,276.867023998445,NaN,NaN
95,NaN,NaN,NaN,269.78432655696,NaN
100,243.997723542016,213.757943426037,264.227053656072,267.04745162575,459.041801644297
150,378.737587440496,237.656480152638,277.883852042593,329.070166395236,651.488590529305
200,460.051004050865,252.631106052099,274.389931670776,295.76689656304,810.072097141882
250,557.186634663796,233.784545146423,333.138034749884,296.13107846537,NaN
300,660.088420208225,230.067876708767,293.29331793663,363.889037160915,NaN
