t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,56085238.0165349,0,9.35967152885898e-07,0.0185621510825861,167.786708166409,0,1.07032744254234e-08,43689776.0898493
50,NaN,NaN,NaN,NaN,227.848668048743,NaN,NaN,NaN
100,24230390.3391559,2323420.70120745,NaN,NaN,273.677033568664,NaN,NaN,29986381.236724
150,NaN,NaN,NaN,NaN,277.056169327761,NaN,NaN,NaN
200,NaN,NaN,0.000760605281323513,NaN,233.372688667515,NaN,NaN,32824353.4992076
250,18175235.5312787,2055476.43884603,NaN,NaN,NaN,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,327.910237038721,NaN,NaN,NaN
350,17630303.124601,NaN,NaN,NaN,280.416207505448,NaN,NaN,18056855.4934719
400,NaN,991432.739092122,NaN,0.0122105868851898,NaN,NaN,1.30607976967343e-06,NaN
450,NaN,NaN,0.000445015690283047,NaN,196.879037483651,NaN,NaN,13472839.0955832
500,8031772.50390226,NaN,NaN,NaN,NaN,0.00358604996397827,NaN,NaN
550,NaN,705414.381784997,NaN,NaN,220.53725701868,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8432939.84031388
650,5518407.62108467,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,0.000246670870611201,NaN,242.734395202419,NaN,NaN,NaN
750,NaN,409228.426025574,NaN,NaN,NaN,NaN,5.8890424310433e-06,4418784.33202591
800,NaN,NaN,NaN,0.0176898697415364,163.458699261835,NaN,NaN,NaN
850,2588015.58621272,NaN,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,206729.202175405,6.84249730415233e-05,NaN,NaN,NaN,NaN,2216616.32950781
1000,1502830.4591089,188897.738954833,NaN,0.0206682204161986,NaN,0.00286300350335299,1.1190722675998e-05,2261905.60519946
1500,457829.845291945,NaN,2.01339736208195e-05,0.0215214315043939,NaN,0.00271953067497631,8.30888115602853e-06,436228.179241913
2000,109573.965348357,NaN,NaN,0.0271116336530992,NaN,0.00164964124964,1.01404944497037e-05,215174.101943318
2500,NaN,NaN,NaN,NaN,NaN,NaN,1.04208521466492e-05,NaN
3000,NaN,NaN,NaN,0.0264547685212441,NaN,0.00186212450503048,7.66972187691003e-06,NaN
3500,NaN,NaN,NaN,0.0256157685182859,NaN,0.000829070629720401,6.32498492700563e-06,NaN
4500,NaN,NaN,NaN,0.0276226155548975,NaN,0.000521104119334028,4.5849238056036e-06,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,3.58669966283718e-06,NaN
5500,NaN,NaN,NaN,0.0270737387682786,NaN,0.000305058617536729,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,2.14952364170184e-06,NaN
6500,NaN,NaN,NaN,0.0283529949654781,NaN,0.000151025327918484,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,8.66734540943928e-07,NaN
8000,NaN,NaN,NaN,NaN,NaN,8.6263930865705e-05,NaN,NaN
8500,NaN,NaN,NaN,NaN,NaN,NaN,9.68356131648616e-07,NaN
