t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,48789776.7346742,0,8.06198943346757e-07,0.0268486903043606,207.791056591867,0,1.41655800178174e-08,65129158.4974135
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31317040.9427197
40,NaN,20164259.8480356,NaN,NaN,NaN,NaN,NaN,NaN
45,3455538.39669623,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,27376770.7231469,NaN,NaN,NaN,NaN,NaN,22831302.80617
90,1030542.4815681,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,14807833.4240316,NaN,NaN,NaN,NaN,NaN,12950691.7694886
150,75457.0719578647,6480776.26319617,0.000806042884526907,NaN,158.531260648024,NaN,NaN,8264395.1373989
200,10299.3359495053,3005402.90581174,NaN,NaN,NaN,NaN,NaN,3372689.88935084
250,4918.72921238881,1329613.34403388,NaN,0.0135613450369493,NaN,NaN,NaN,2013661.30592923
300,NaN,397467.03564846,NaN,NaN,NaN,NaN,NaN,534374.016541493
350,2774.83720652801,NaN,0.000144144171771523,NaN,272.876307111968,NaN,NaN,NaN
400,NaN,85256.988413691,NaN,NaN,NaN,NaN,2.43887982676558e-06,213106.627290957
450,3030.13858903814,28192.4997830488,NaN,NaN,NaN,NaN,NaN,121502.552379367
500,NaN,NaN,NaN,0.0242181712353919,362.59625589401,0.00409935454270427,NaN,NaN
550,NaN,11587.0756280023,6.88660868778528e-06,NaN,NaN,NaN,NaN,96211.5866021577
650,NaN,8392.28583644823,NaN,NaN,NaN,NaN,NaN,141425.25538504
700,NaN,NaN,NaN,NaN,222.464908067448,NaN,NaN,NaN
750,NaN,NaN,4.48083644828773e-06,NaN,NaN,NaN,NaN,NaN
800,NaN,7091.1785700234,NaN,0.0324701400170419,NaN,NaN,7.22908378732866e-06,NaN
950,NaN,NaN,NaN,NaN,223.604393332025,NaN,NaN,NaN
1000,NaN,NaN,4.80524517194781e-06,0.0141361932390329,257.723860137473,0.00251823729527893,6.29926599790495e-06,NaN
1500,NaN,NaN,4.71936451267899e-06,0.0400065677462603,186.042476899992,0.00130380302541424,6.54374098903514e-06,NaN
2000,NaN,NaN,NaN,0.0268452678912304,275.045574756211,NaN,5.39655989269021e-06,NaN
2500,NaN,NaN,NaN,0.0191903972923344,186.572726395421,0.00129712971237492,4.57557671985775e-06,NaN
3000,NaN,NaN,NaN,0.0324215796378994,183.095729747991,0.000878405688835549,NaN,NaN
3500,NaN,NaN,NaN,0.0221436673223283,NaN,NaN,4.87680393057527e-06,NaN
4000,NaN,NaN,NaN,NaN,NaN,0.000661838196009596,3.5453470408004e-06,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.000477865057315553,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,2.4088051926468e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000287251154503345,1.20953072507388e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000126041639158897,1.23463718277937e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000122685791230472,7.69706500462128e-07,NaN
