t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,48262394.9323032,0,6.95821535648587e-08,0.0259966804091488,215.371995140077,0,1.2378187648535e-08,37039196.4306412
40,28960731.079023,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44717709.2041883
50,NaN,9595599.99437276,NaN,NaN,NaN,NaN,NaN,NaN
80,10499728.3787121,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27811544.2137554
100,6527545.6396663,12931473.9085518,NaN,NaN,NaN,NaN,NaN,NaN
150,5766090.21664609,5810435.43218178,NaN,NaN,342.177867220758,NaN,NaN,15634073.4057301
200,1939675.40110011,NaN,NaN,NaN,NaN,NaN,NaN,12525193.0767313
250,NaN,3476740.31582456,0.00103086968408958,NaN,NaN,NaN,NaN,4482230.40139233
300,389530.958599824,1717565.54204527,NaN,NaN,NaN,NaN,NaN,2805195.66018114
350,272224.999976699,NaN,NaN,0.0175971345684682,160.88639948184,NaN,NaN,1115131.83553965
400,NaN,373795.463259844,NaN,NaN,NaN,NaN,NaN,NaN
450,30907.0582952859,200525.736552239,NaN,NaN,NaN,NaN,4.20952015391315e-06,438868.165502093
500,NaN,NaN,4.85322931439634e-05,NaN,NaN,NaN,NaN,NaN
550,NaN,84477.3028967337,NaN,NaN,221.950736194655,NaN,NaN,260345.438414839
600,NaN,NaN,NaN,NaN,NaN,0.0030383870610374,NaN,NaN
650,NaN,NaN,NaN,0.0216555547703527,NaN,NaN,NaN,134679.039002893
700,NaN,14085.4396290539,NaN,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,174.39217589352,NaN,NaN,NaN
800,NaN,NaN,3.69354554889587e-06,NaN,NaN,NaN,NaN,112946.588242911
850,NaN,5446.55792038265,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,204.360481627693,NaN,6.31204484399628e-06,NaN
1000,NaN,NaN,3.92006531613221e-06,0.0181453538483924,116.388345765942,0.00163179180104551,NaN,NaN
1500,NaN,NaN,4.74470465677952e-06,0.0366559346420247,294.985490627318,NaN,8.98800885496715e-06,NaN
2000,NaN,NaN,3.37395767587085e-06,0.0283281988698341,249.365500890218,0.00141266092266297,8.49187430723812e-06,NaN
2500,NaN,NaN,NaN,0.0421400138833886,195.564770209107,0.000960506753642649,8.60600177361466e-06,NaN
3000,NaN,NaN,NaN,0.0232864963069156,163.384033511691,NaN,8.45547962142231e-06,NaN
3500,NaN,NaN,NaN,0.0264709786604239,NaN,0.000624382297221965,NaN,NaN
4000,NaN,NaN,NaN,0.0227152369417254,NaN,NaN,4.82315553095315e-06,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.000608253830076125,NaN,NaN
5000,NaN,NaN,NaN,0.02249747904281,NaN,NaN,3.31612946117108e-06,NaN
5500,NaN,NaN,NaN,NaN,NaN,0.000219905243177694,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,1.50712959309318e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000255823117501045,1.20436478373165e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000161896179201092,4.34643072012637e-07,NaN
