t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,73478017.8052803,0,1.14663771468682e-06,0.0285668499712773,280.143733088734,0,1.27650525126258e-08,33380810.3272133
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40663907.0846218
65,NaN,NaN,NaN,NaN,258.175936610734,NaN,NaN,NaN
70,NaN,4717962.48715839,NaN,NaN,NaN,NaN,NaN,NaN
75,31380237.6113483,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36919704.4327486
150,11200707.4791099,6950819.50794269,NaN,NaN,262.981266634508,NaN,NaN,NaN
200,NaN,3560365.91529672,NaN,NaN,187.912758270809,NaN,NaN,15724448.2729816
250,15523308.1254712,NaN,0.000805899250137515,NaN,NaN,NaN,NaN,13577381.5308518
300,NaN,2238016.2085691,NaN,NaN,305.539839540949,NaN,NaN,NaN
350,3682177.53567944,2285368.16606495,NaN,NaN,338.231168849624,NaN,NaN,5537062.72458867
400,NaN,NaN,NaN,NaN,NaN,NaN,2.21358362732479e-06,4843788.28131606
450,2602701.24533033,881815.978275194,NaN,0.0142051536451399,220.255512801002,0.00487459400106047,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2835498.70748418
550,1442493.65779385,559348.933118355,0.000217560570939456,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,160.334010273976,NaN,NaN,1534677.48826001
700,362838.668557238,186660.469665244,NaN,NaN,204.662925865533,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,740834.062783743
850,180105.675263132,59167.0532274584,3.09566670448004e-05,NaN,236.243261714253,NaN,6.27871058310191e-06,NaN
900,NaN,NaN,NaN,0.0167342419096746,NaN,NaN,NaN,345349.436837356
950,NaN,NaN,NaN,NaN,NaN,0.00312550213087315,NaN,NaN
1000,NaN,22675.0279128752,1.89401043292037e-05,NaN,190.704219067589,NaN,NaN,233408.503236215
1500,NaN,7256.21604648254,3.54121628295608e-06,0.0227451137464891,NaN,0.00200082915561701,8.90909375366514e-06,NaN
2000,NaN,NaN,4.21875598693341e-06,0.0271184938396207,NaN,0.00139766480711183,NaN,NaN
2500,NaN,NaN,NaN,0.0263718103173221,NaN,0.00124036173688868,7.01650554658061e-06,NaN
3000,NaN,NaN,NaN,NaN,NaN,NaN,6.43907324883034e-06,NaN
3500,NaN,NaN,NaN,0.0255625048316024,NaN,0.000578523337093454,8.7279175147937e-06,NaN
4000,NaN,NaN,NaN,0.018680202455143,NaN,0.000749779616172705,7.19534664956583e-06,NaN
5000,NaN,NaN,NaN,0.0260735766784344,NaN,0.000376669968806942,4.96456360687089e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000196160079042362,1.91904897218661e-06,NaN
6500,NaN,NaN,NaN,0.0162778903913081,NaN,NaN,NaN,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000164098851316596,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,1.10709625980883e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000130051119754536,7.21074879969261e-07,NaN
