t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,54507431.056065,0,9.78397325721714e-08,0.0201246250231855,263.316833859471,0,1.00871141624585e-08,49073992.1861412
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46033902.1403139
40,391078.99117594,25325781.5872252,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22952497.4494742
80,NaN,17665864.3236924,NaN,NaN,NaN,NaN,NaN,NaN
85,47015.1553730548,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,14718087.8718219,NaN,NaN,NaN,NaN,NaN,14988177.1974156
150,2663.0350998814,3796690.33728441,NaN,NaN,183.164225395907,NaN,NaN,4943308.4624863
200,1381.72907364399,2169095.90052916,0.000675989254781169,NaN,NaN,NaN,NaN,2411935.71550173
250,1145.17483330854,NaN,NaN,0.0176787919899745,NaN,NaN,NaN,553495.166429048
300,843.710902261835,531876.796779469,NaN,NaN,263.321277264169,NaN,NaN,455830.774604711
350,NaN,180535.528993285,NaN,NaN,NaN,NaN,2.56149413895512e-06,196225.677796012
400,1108.96802207183,65396.5681671563,NaN,NaN,NaN,NaN,NaN,NaN
450,811.346538388903,NaN,1.63892376566107e-05,NaN,195.30933776839,NaN,NaN,153548.653855487
500,NaN,11458.920373247,NaN,NaN,NaN,0.00199200593023656,NaN,109975.89696435
550,NaN,NaN,NaN,0.018063311855398,NaN,NaN,NaN,NaN
600,NaN,7502.36246276085,NaN,NaN,304.10068704951,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,137526.023899735
700,NaN,5375.50552828237,4.92237522606376e-06,NaN,NaN,NaN,NaN,NaN
750,NaN,NaN,NaN,NaN,NaN,NaN,4.40587391547554e-06,NaN
800,NaN,NaN,NaN,0.0262859537094939,198.575212569431,NaN,NaN,NaN
850,NaN,10423.8705369483,NaN,NaN,NaN,NaN,NaN,NaN
1000,NaN,NaN,5.4295139351509e-06,0.0238051262737999,218.725330096597,0.00217658720346207,5.72825783535906e-06,NaN
1500,NaN,NaN,2.88766883328612e-06,0.0198916172742334,236.936868194639,0.000964945458455675,6.72498744215971e-06,NaN
2000,NaN,NaN,NaN,0.0231689666746326,305.1650407631,NaN,8.90084589451231e-06,NaN
2500,NaN,NaN,NaN,0.0265846894775397,315.889497109652,0.000914151133249219,5.34693695294425e-06,NaN
3000,NaN,NaN,NaN,0.0205720498406726,162.482241545272,0.000548121211228779,4.24632172143372e-06,NaN
3500,NaN,NaN,NaN,0.0265333193629514,NaN,NaN,2.91998070740557e-06,NaN
4000,NaN,NaN,NaN,0.031957137033272,NaN,0.000405682308415565,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.000393630945728318,2.4575433464776e-06,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,2.13681378318605e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000317102871242212,1.60998022844507e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000140595436193741,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,1.04251676310587e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,9.86989198745164e-05,7.7490051145547e-07,NaN
