t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,Akt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,Compound_1_Obs
0,32424111.5161744,0,1.41898059082263e-07,0.0213810782865856,230.115762993552,0,1.33709241901126e-08,34426524.3094929
70,NaN,NaN,NaN,NaN,328.490013022845,NaN,NaN,NaN
100,31649291.0117159,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,NaN,593800.84309058,NaN,NaN,233.398472835894,NaN,NaN,33444684.2683024
200,NaN,NaN,NaN,NaN,147.713468524552,NaN,NaN,NaN
250,22111871.4257496,NaN,0.000272169157997893,NaN,NaN,NaN,NaN,NaN
300,NaN,634268.326476297,NaN,NaN,213.711486454214,NaN,NaN,23018678.1528972
350,26121675.8442629,NaN,NaN,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,262.463246927241,NaN,7.52110046618171e-07,NaN
450,NaN,512128.888195377,NaN,0.0203348591938475,NaN,NaN,NaN,NaN
500,15439885.9000659,NaN,0.000175080583138764,NaN,237.449012705757,NaN,NaN,19042391.2380615
550,NaN,NaN,NaN,NaN,NaN,0.00166381050754269,NaN,NaN
600,NaN,336405.296903092,NaN,NaN,NaN,NaN,NaN,NaN
650,7732076.6958248,NaN,NaN,NaN,225.088839697284,NaN,NaN,11274419.3013531
750,NaN,NaN,NaN,NaN,220.971044089869,NaN,NaN,NaN
800,6096574.81714902,147565.63380763,0.000135013709761968,NaN,NaN,NaN,NaN,NaN
850,NaN,NaN,NaN,NaN,NaN,NaN,2.98950869038881e-06,6293175.41347123
950,NaN,NaN,NaN,0.03447161669135,332.647137931526,NaN,NaN,NaN
1000,6192309.09540506,125897.632595176,6.72232335762453e-05,NaN,286.488572210827,0.0021573470117177,NaN,2647884.00210671
1500,1647426.45506713,31284.373555969,2.72629627173675e-05,0.0197531882085529,NaN,0.00150893455966742,2.82991296835133e-06,1563469.66181928
2000,601290.21139457,NaN,6.24981861890695e-06,0.0142055018459878,NaN,NaN,6.90883722398219e-06,483399.321164057
2500,NaN,NaN,3.03507958302661e-06,0.0210563991673681,NaN,0.0010063193621417,NaN,316556.885072971
3000,NaN,NaN,1.50199135097456e-06,0.0246828770797518,NaN,0.00118352145894347,4.89384211050161e-06,277793.743944067
3500,NaN,NaN,8.47984508412163e-07,NaN,NaN,NaN,3.05520617564614e-06,NaN
4000,NaN,NaN,NaN,0.0338295170078663,NaN,0.000439671689606211,2.59482274393585e-06,NaN
5000,NaN,NaN,NaN,0.0336554227125345,NaN,0.000204390752071043,2.42091711903962e-06,NaN
6000,NaN,NaN,NaN,0.0266453218083607,NaN,0.000138189396873749,1.48038388164378e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000108213649419359,NaN,NaN
7500,NaN,NaN,NaN,0.0218950076322753,NaN,NaN,6.08037009931342e-07,NaN
8500,NaN,NaN,NaN,NaN,NaN,4.01919226328945e-05,4.72656414088617e-07,NaN
