t,Y_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Y_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,947.000752884315,5.67911421561293,-16.5064889324257,98.3882027571656,917.345194957175,794.020099395601,1.52820363268827e-05
6.5,NaN,NaN,NaN,NaN,NaN,NaN,2.92000072042923e-08
15,NaN,NaN,NaN,NaN,NaN,0.92124692194711,9.75280101339906e-08
20,NaN,NaN,NaN,NaN,-3.9439377217659,NaN,-4.38905130449752e-07
25,4462.1340451868,NaN,NaN,-1.04245019585557,NaN,NaN,NaN
30,NaN,2718.09098551497,NaN,NaN,NaN,NaN,-5.58286728703461e-08
35,NaN,NaN,NaN,NaN,-5.33703928330201,4.87003292915422,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,-9.31958213981069e-08
50,2324.34254161558,NaN,NaN,1.38916073792266,NaN,-13.0445089673165,3.04377450194047e-07
55,NaN,NaN,NaN,NaN,23.6120210616717,NaN,NaN
60,NaN,NaN,214.718682609386,NaN,NaN,NaN,-4.49821367744198e-08
65,NaN,304.976094840454,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,1.72230595791434,NaN
75,NaN,NaN,NaN,3.28316089707619,-0.404381725143022,NaN,1.74556877378426e-07
80,1161.26583705612,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,-5.52141986406734,NaN
100,657.124029848067,230.795468652203,92.1622678029972,7.1152212210662,8.72035990456811,-9.14690231864012,NaN
150,685.985563128589,2507.091198217,NaN,1.87299407707483,12.2460293758255,9.85328514755264,NaN
200,1755.70311561354,292.027359113539,357.121384453598,5.56804828209601,8.49587071387473,1.7844188644263,NaN
250,301.175980804511,1374.88997814144,147.616876450039,0.82300055958218,-16.5036192758523,4.84787082711965,NaN
300,2702.19735153045,938.034599802221,352.641848024464,-1.10515057185478,17.9874334514585,-0.0523545733604998,NaN
350,686.683177405774,-54.810809248201,NaN,17.7134474194192,23.9452227890416,NaN,NaN
400,NaN,NaN,177.564390146174,NaN,NaN,NaN,NaN
450,NaN,398.799665620822,NaN,NaN,NaN,NaN,NaN
500,NaN,NaN,307.66679948824,NaN,NaN,NaN,NaN
600,NaN,NaN,520.573379021161,NaN,NaN,NaN,NaN
700,NaN,NaN,351.953144738366,NaN,NaN,NaN,NaN
850,NaN,NaN,509.498467770956,NaN,NaN,NaN,NaN
1000,NaN,NaN,556.624984791209,NaN,NaN,NaN,NaN
1500,NaN,NaN,288.852252322367,NaN,NaN,NaN,NaN
