t,Compound_1_Obs,Compound_2_Obs
0,27.0013461766511,-39.8430104597365
15,NaN,205.603398600065
20,184.586177627321,NaN
30,NaN,142.742705235954
35,195.245442630384,NaN
45,NaN,230.434306871867
55,216.825906103437,NaN
60,NaN,139.383673015502
75,169.538971359639,254.050627419281
95,NaN,126.728837177268
100,140.277193671191,202.491952894603
150,101.128908323776,199.711489186512
200,137.778607795563,147.731909239679
250,110.297914244491,66.2500406646882
300,39.4515741135042,132.511864265434
350,80.8237796089604,54.6067253900578
400,49.1038585441278,45.726584784657
450,29.2345085098761,NaN
