t,K27me0K36me1_Obs,K27me1K36me1_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,0.00467282190203739,0.019179023682025,0.672484528439483,0.164522039176576,0.106910199869181
3,NaN,0.0125892631736556,NaN,0.186525618793336,NaN
3.5,0.00056453837608795,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,NaN,0.0964486654493147
4.5,NaN,NaN,0.663102879223088,NaN,NaN
6,NaN,0.0121535841630266,NaN,NaN,NaN
6.5,NaN,NaN,NaN,0.193757394325829,NaN
7,0.000404263426969799,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,0.093890485006239
9.5,NaN,0.013129053756175,0.711931719211173,NaN,NaN
10,0.00039377378201115,NaN,NaN,0.198786744995554,0.0920942547724061
15,0.000245655213623666,0.0131145317741279,0.623575208876544,0.201770464689745,0.0938909715496398
20,0.000197795507164328,0.0129275247149706,0.719225601106672,0.238500582808302,0.0954047218415747
25,0.000143031044783345,0.0129136214548521,NaN,NaN,0.0988063079005505
30,7.83856180668753e-05,0.0128100916982767,0.67600249107956,0.240737336967595,NaN
35,7.60221778618579e-05,0.0125166224355747,0.663185156391512,0.216605488028237,0.0861805904508911
40,NaN,NaN,NaN,0.217150543699375,0.101152386330754
45,2.22233931516782e-05,0.0134965948503612,NaN,NaN,NaN
50,2.04772804626368e-05,0.0136232958123416,0.667273303027772,0.213047831787186,0.0960909592486652
60,-2.4107497327316e-06,0.0142343335529953,0.650567812917372,0.211306254762321,0.0930309305428069
