t,EpoR_Obs,Epo_EpoR_Obs
0,215.691837617618,0.0922288378982074
30,117.049619530095,23.0145828990865
55,NaN,22.4648467147654
60,66.9404756352011,NaN
85,NaN,16.9985500798442
90,51.9986016967672,NaN
100,NaN,18.3006847112872
150,102.263536599602,13.9606398312348
200,89.64331821507,11.5991703515313
250,54.2755939211785,11.1530143873241
300,43.7520498871548,14.3248819669776
350,77.9608956161177,12.2783294152668
450,79.3848136484778,8.92503616080838
500,92.7708364194916,NaN
550,NaN,7.66046247246022
600,90.0124613589779,NaN
750,104.409739791471,NaN
