t,IR_Obs,IRins_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XXp_Obs
0,9.70151554294858,0.980195109955391,-1.46006434577113e-05,-0.378704379730021,9.4335529688864,-0.455354067857708,-3.92593802517471e-06
1.5,0.121000100833208,NaN,NaN,NaN,NaN,NaN,NaN
2,NaN,NaN,NaN,NaN,NaN,4.05520216928476,NaN
2.5,NaN,6.59356940554595,NaN,NaN,6.97728897029995,NaN,NaN
3,0.283203667724604,NaN,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,0.746971042540782,NaN,NaN,NaN
4.5,0.40601328326732,NaN,0.000451379788891498,NaN,NaN,3.09488219805066,0.00219221466938907
5,NaN,7.44682622916081,NaN,NaN,6.41520398541104,NaN,NaN
6.5,0.199532126668181,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,4.02908096313207,NaN
7.5,NaN,10.2933512913989,NaN,2.86578866605697,7.85199006132928,NaN,NaN
8.5,0.194373174011374,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,0.000416723819303399,NaN,NaN,NaN,0.00237417251046267
9.5,NaN,NaN,NaN,NaN,NaN,3.78865928416279,NaN
10,0.398553280740154,7.18063986772068,NaN,2.5082012314385,6.68179174675736,2.88961949749755,NaN
15,-0.0751188303999086,6.77250641160844,0.000290524191258183,3.25577111045855,6.84990566886076,2.9605891412822,0.00253792301679685
20,0.0688389628687436,5.19418274092067,0.000415582609453544,4.515788304116,7.16676520203514,2.15827622554025,0.00240195875367628
25,NaN,5.22200488566538,0.000300473448058935,5.01326897564835,8.05525299894925,3.32368296214791,0.00236290954406498
30,NaN,3.49663951518317,0.000299522747106487,5.07497361817284,NaN,3.54464052830902,0.00224918962434947
35,NaN,2.56087437812868,NaN,NaN,5.46090028010793,NaN,NaN
40,NaN,6.30524422703913,0.000331194009893917,4.5085182046605,7.82648375975307,NaN,0.00205682175651404
50,NaN,2.30456170883484,0.000313277020583008,5.46870759351092,NaN,NaN,0.00125337804448975
55,NaN,4.32885888126167,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,0.000262036045640422,7.35313476488646,NaN,NaN,0.00167851406900363
70,NaN,NaN,0.000302661974834602,5.31828570938562,NaN,NaN,0.00196384821168016
