t,IRins_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,XXp_Obs
0,-1.17357124522755,-5.69690666663543e-05,0.168131601107069,11.0489364647438,-0.000203510674593527
0.9,NaN,NaN,NaN,7.06559354322562,NaN
1,3.8017231862966,NaN,NaN,NaN,NaN
1.5,NaN,0.000420392551075513,-0.199028160694447,NaN,0.000897165653780718
2,NaN,NaN,NaN,6.84428532030672,NaN
2.5,5.09859697455521,NaN,-0.0195225720151235,5.63073401422664,NaN
3,NaN,0.000390198610815508,NaN,NaN,0.00160909368707198
3.5,6.03483449437927,NaN,NaN,6.22588249401119,NaN
4,NaN,NaN,0.341675868945112,NaN,NaN
4.5,NaN,0.000502459847839422,NaN,NaN,0.00210265991269965
5,7.80748106306264,NaN,NaN,6.85242831496813,NaN
5.5,NaN,NaN,0.821981202474089,NaN,NaN
6,10.8390147538167,0.000497084173573207,NaN,5.78600393484327,NaN
6.5,NaN,NaN,NaN,NaN,0.00238538227323665
7,NaN,NaN,1.26242073891245,5.89837184787528,NaN
8,7.64397471182063,0.000405083282538417,NaN,NaN,NaN
8.5,NaN,NaN,1.73470286252104,6.36004126769477,0.00276537287844765
10,7.08557656649739,0.000368749796367061,1.8213365705576,7.36691640705001,0.00230131276960326
15,7.44516724938986,0.000333329120939774,2.79802168200135,6.42338296111696,0.00181659327537046
20,5.40531763845901,0.000341398597363852,3.3974844561668,7.22145091750776,0.00220903111669004
