t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.01503946872232,1.80831359991067e-05,1.12497284650992,0.000416129753663391,0.73183922444817,0.0538805589668584
0.25,NaN,2.75497012300436e-05,NaN,0.000233680204181358,NaN,NaN
0.35,1.07196288097506,NaN,NaN,NaN,NaN,NaN
0.45,NaN,NaN,0.9517085159916,NaN,NaN,NaN
0.5,NaN,NaN,NaN,0.000105120750024477,NaN,NaN
0.55,NaN,2.23173321753581e-05,NaN,NaN,NaN,NaN
0.65,NaN,NaN,NaN,NaN,1.22541897305329,NaN
0.7,1.55712521786857,NaN,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.000124670066328345,NaN,NaN
0.85,NaN,1.81823112898188e-05,NaN,NaN,NaN,NaN
0.9,NaN,NaN,0.870746119265395,NaN,NaN,NaN
0.95,NaN,NaN,NaN,NaN,NaN,0.0280819927178998
1,1.04185532348654,1.89193831105911e-05,NaN,0.000140578136705677,NaN,NaN
1.5,0.774588842443999,3.30121188951835e-05,1.35491872819981,0.00017530039281945,1.16009945173201,NaN
2,0.86435299691466,2.80701275456824e-05,1.1449553808473,0.000138277709496126,1.19680949042323,0.0216464008467695
2.5,0.726793615715135,2.58843344823219e-05,1.30050096743332,0.000155163044514977,1.17214983061641,NaN
3,NaN,2.2748870744974e-05,NaN,0.000169015609635297,NaN,0.018394499685251
3.5,0.617334841715456,NaN,1.0154102244869,0.000146159718601539,1.19046935789959,NaN
4,0.920451477426321,NaN,1.02051295774044,NaN,NaN,0.0278008339193531
4.5,NaN,NaN,NaN,NaN,0.947494758215726,NaN
5,NaN,NaN,1.23893534126384,NaN,NaN,0.0337304710082057
5.5,NaN,NaN,NaN,NaN,0.618441571417514,NaN
6.5,NaN,NaN,1.25049829065176,NaN,NaN,0.0142121276479771
7,NaN,NaN,NaN,NaN,1.0505815626711,NaN
8,NaN,NaN,1.10879427099319,NaN,NaN,0.0226463679953853
8.5,NaN,NaN,NaN,NaN,0.82478884492326,NaN
10,NaN,NaN,NaN,NaN,1.35911832386191,0.0240211988524947
15,NaN,NaN,NaN,NaN,0.960561910718879,0.0245367662374407
20,NaN,NaN,NaN,NaN,NaN,0.0232315817384845
