t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.00412417407101,7.32379767640073e-06,0.964857807853098,0.000253894346026028,0.873216031843161,0.0522138969554114
0.15,NaN,NaN,NaN,NaN,1.05161253926138,NaN
0.2,0.843049582831219,NaN,NaN,NaN,NaN,0.0231947725177091
0.25,NaN,NaN,0.916427854768321,NaN,NaN,NaN
0.35,NaN,1.74356387195873e-05,NaN,NaN,1.19001936033344,NaN
0.4,NaN,NaN,NaN,0.000728787215975752,NaN,NaN
0.45,0.764651994930713,NaN,1.20477445247728,NaN,NaN,0.0107465420172774
0.55,NaN,NaN,NaN,NaN,0.722593195108962,NaN
0.7,0.601632668937183,2.14308868024577e-05,0.752644484000099,NaN,NaN,0.00890421711659143
0.75,NaN,NaN,NaN,NaN,0.93499530402468,NaN
0.85,NaN,NaN,NaN,0.00105065863892576,NaN,NaN
0.95,1.082376435577,NaN,NaN,NaN,NaN,NaN
1,NaN,2.70554134988782e-05,0.967268624462032,NaN,1.06479822560087,0.00240865796434711
1.5,1.02563761543749,3.99293946793875e-05,0.748589233590097,0.00196853649429934,1.20084842513052,0.00989868817425468
2,1.10338431783391,4.12991786742661e-05,1.28825495920488,0.00187249151758735,NaN,0.00974339097468719
2.5,0.939282942656214,3.9176373642066e-05,0.575096903698054,0.00217245687020093,NaN,NaN
3,0.908281913939879,4.56648683893106e-05,NaN,NaN,NaN,NaN
3.5,NaN,3.50769975669306e-05,0.859955939113148,0.0018791595430266,NaN,NaN
4,NaN,4.89154627161919e-05,NaN,NaN,NaN,NaN
5,NaN,4.34391212111806e-05,NaN,NaN,NaN,NaN
6,NaN,4.51599014467956e-05,NaN,NaN,NaN,NaN
