t,RAF_Obs,pRAF_Obs,MEK_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,1.33782633827416,8.56502749824776e-06,0.608570222636106,0.000585488705140905,1.01496568064585,0.0678006430636325
0.15,NaN,2.08696619503975e-05,NaN,NaN,NaN,NaN
0.25,NaN,NaN,NaN,NaN,1.09056504759305,NaN
0.3,NaN,NaN,1.01394443941718,0.000903696583216753,NaN,NaN
0.35,NaN,1.94931614062017e-05,NaN,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,NaN,0.0989233936128234
0.5,NaN,1.62514336192555e-05,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,0.000982164933399785,1.07191095203494,NaN
0.6,NaN,NaN,1.02515171312283,NaN,NaN,NaN
0.7,NaN,1.12711895141672e-05,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,NaN,0.692915985096568,NaN
0.85,NaN,NaN,NaN,0.000585361783303234,NaN,NaN
0.9,NaN,1.9281241393223e-05,NaN,NaN,NaN,NaN
0.95,NaN,NaN,1.0170603422843,NaN,NaN,0.0913196920380152
1,1.1531484054508,1.68003936382854e-05,NaN,0.000664679899269278,1.00012875368322,NaN
1.5,NaN,1.44752732190766e-05,0.966811957408333,0.00061149140721545,1.04627701504676,0.0626677234207607
2,NaN,7.16600448526364e-06,0.891981918460393,0.00044981346940522,1.29701562033017,0.0689513431561868
2.5,0.919746351837516,1.30869389080459e-05,0.817459921918439,0.000560103422076909,0.929930840754533,0.0311894795102238
3,NaN,9.04797832069121e-06,NaN,0.000600864889924722,0.889581074149036,NaN
3.5,1.03617042277113,1.38761101065803e-05,1.03018381906228,0.000543194869808955,0.969267112358487,0.0581520420114408
4,NaN,NaN,0.84765491283851,0.000533652636594953,0.995967914401395,0.0564733838656743
5,1.17923024730106,NaN,1.30512904256861,0.000243444164266958,0.691104233045071,0.0611244449996614
6,NaN,NaN,NaN,NaN,NaN,0.0636837306963111
6.5,0.928989825345967,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,NaN,0.0700597488094115
8.5,0.901836800524644,NaN,NaN,NaN,NaN,NaN
10,0.929145248112203,NaN,NaN,NaN,NaN,NaN
15,0.975786338166199,NaN,NaN,NaN,NaN,NaN
