t,pAC_Obs,RIIp_2_Obs
0,0.0173620046115317,0.128227174308274
15,NaN,0.13527715219633
20,-0.00240173316694703,NaN
35,0.0630534325193231,0.140020665366518
55,-0.0344028994040144,0.127612405026981
70,NaN,0.17815530803072
75,-0.0768752399458783,NaN
90,NaN,0.205630892528291
100,0.0672183648570535,0.221332711215704
150,-0.0186498165566332,0.219474725180964
200,-0.0168590145941118,0.214603061332573
250,-0.0239855517547637,0.198084102027485
300,0.0776230910825828,0.198139436356144
350,-0.00689983767542183,0.200064330213855
450,0.00270009352631771,0.19991781296958
