t,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs
0,0.0058597527512524,0.000301792236284561
9,0.00242746136735905,NaN
20,0.000823211531595267,0.000226310356806483
30,0.00452471975336571,NaN
40,0.00350040865189198,NaN
45,NaN,-0.000102577812235976
50,0.00343198243140076,NaN
65,0.173432148164028,0.0118285932534972
80,0.144236193342461,NaN
90,NaN,0.00951970328204539
100,0.136729306987375,0.00892809281253285
150,0.130224506185493,0.00861138284664548
200,NaN,0.00877387155584254
250,NaN,0.00923001118251209
300,NaN,0.00857911840633943
350,NaN,0.00903429445450737
450,NaN,0.0087991333267884
