t,AC_Obs,AC_Fsk_Obs,cAMP_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_2_Obs
0,0.980326196563006,-0.01050493227026,0.394579302673994,0.00690854275286764,0.000572964045460858,0.118925406632628
3,NaN,NaN,7.16209134201004,NaN,NaN,NaN
3.5,0.685493872748878,NaN,NaN,NaN,NaN,NaN
4,NaN,0.328292443890084,NaN,NaN,NaN,NaN
4.5,NaN,NaN,NaN,0.173451805665117,NaN,NaN
5.5,NaN,NaN,NaN,NaN,0.0114298392921716,NaN
6.5,NaN,NaN,6.83277706087879,NaN,NaN,0.175766699357453
7.5,0.652962658110855,NaN,NaN,NaN,NaN,NaN
8.5,NaN,0.331842421739407,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,0.16740305959546,NaN,NaN
10,0.650098520742944,NaN,7.07741765421707,NaN,0.0108734707265075,NaN
15,0.649284248931472,0.327924298435409,7.1617784531351,0.145909145033585,NaN,0.23039447434985
20,0.702444375466252,0.32898857281826,7.34145042047729,0.136780597898008,0.00967921493568583,0.237435434497643
25,NaN,0.324612045823878,7.14862283588228,0.140891505687047,0.00975220096021993,NaN
30,0.618220670373501,0.342499920933067,7.11202336069899,0.135243006908751,NaN,0.23610551235469
35,NaN,NaN,NaN,NaN,0.00894613729001181,NaN
40,NaN,NaN,NaN,0.146172528725273,NaN,0.228612485535963
45,NaN,NaN,NaN,NaN,0.00920081456776453,NaN
50,NaN,NaN,NaN,0.14016425425978,NaN,NaN
55,NaN,NaN,NaN,0.130411615559091,NaN,0.241121280940056
70,NaN,NaN,NaN,0.137218080492997,NaN,NaN
85,NaN,NaN,NaN,0.131637557430805,NaN,NaN
