t,pAC_Obs,RIIp_cAMP_C_2_Obs
0,0.0444704737161759,0.000515826957780375
7,0.0482810014267801,NaN
15,0.076162943260543,0.00309994300621182
20,-0.016829986821891,NaN
30,-0.00813724611792377,0.00238646923499246
35,0.0176337828066026,NaN
45,0.031833660976538,0.00329139680064108
55,-0.0324659945528036,NaN
65,-0.00247829217138408,0.115768510866948
75,0.0169929319511849,NaN
85,NaN,0.0988516340933122
90,0.0374106412501542,NaN
100,0.00082389727767092,0.0982858915745039
150,-0.0567623799480123,0.0945884481682519
200,NaN,0.0951574250930918
