t,RIIp_cAMP_2_Obs,RIIp_2_Obs
0,0.000232692732542077,0.129643243377105
20,NaN,0.123670512634608
25,0.000169701632423929,NaN
45,0.000272614526402607,0.153483190270261
65,NaN,0.166927228930959
75,0.00708176872386548,NaN
90,NaN,0.210582185568533
100,0.00608319917620968,0.214204082733422
150,0.00580315056613132,0.208668041725539
200,0.00562492269322413,0.202782033651487
250,0.0051429964425286,0.187263856006057
300,0.00512543561938998,0.186602177973317
350,NaN,0.18366898422041
400,0.00476190904214917,NaN
450,NaN,0.175751672923515
