t,AC_Fsk_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_2_Obs,RIIp_C_2_Obs,RII_2_Obs,Csub_Obs,RIIp_Sp8_Br_cAMPS_2_Obs
0,0.0229854395555975,0.00384350680259517,0.000255101252260933,0.129683069498234,0.279177373828858,0.0566915792224007,0.200631560867297,0.000164691112045212
3.5,0.0124120603168825,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,NaN,0.000430825391793998,4.40816000609712e-05,NaN,0.0271528969060766,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.186470155783456,NaN,0.0528654159972061,0.242998251699075,NaN
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0094383364887669
7.5,-0.0452806719743303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,-0.0190683795583692,0.000221827035720216,2.0093467507544e-05,0.208189623981172,0.0150602138293691,0.0508050565146009,0.280379208184999,0.00955557331745123
15,-0.0182094744937363,0.000148423453559027,9.47267455294126e-06,0.236541974372304,0.0129497554139495,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,NaN,0.0430970725743368,0.306322496445527,0.00811818066184635
25,-0.00124821548398427,0.000127435877547884,1.09773129740867e-05,0.262023287207773,0.0107091838190971,0.04353016126169,0.308749116384647,0.00746652035056477
30,0.0194162121925321,0.000158971601109503,7.27172180956811e-06,0.25895516349937,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,NaN,0.00897201574131298,0.042466249799917,0.321680072921903,0.00749100598239181
40,NaN,0.000100258799479239,2.47006120341666e-06,0.267539299520884,NaN,0.044647246815235,NaN,0.00757792015968871
45,NaN,NaN,NaN,NaN,NaN,NaN,0.315584791676163,NaN
50,NaN,NaN,NaN,0.269844905106855,NaN,NaN,NaN,0.00766837339626874
55,NaN,NaN,NaN,NaN,NaN,0.0421231197962565,0.310114603377596,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00778891374303306
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00730923674719261
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00757321281222641
