t,AC_Obs,pAC_Obs
0,1.06456401099721,-0.0234380251417978
4,NaN,-0.0660414235691479
5.5,0.92015372535799,NaN
8.5,NaN,-0.0206241749379982
10,0.997413676188417,NaN
15,0.661626652508875,0.00451777492952796
20,NaN,0.0289338241316063
25,0.741882817980065,-0.0178815730826953
30,0.681994485207554,-0.0642403274348225
35,NaN,-0.0162965265397375
40,0.685604833712453,NaN
45,NaN,-0.0510134217314013
50,0.626594337122112,-0.0350040217247408
60,NaN,0.0100835614706351
65,0.677921962545639,NaN
75,NaN,0.050416556983375
80,0.660126895308681,NaN
90,NaN,-0.063281576001769
