t,AC_Obs,pAC_Obs,AC_Fsk_Obs,cAMP_Obs,RIIp_cAMP_C_2_Obs,RIIp_cAMP_2_Obs,RIIp_Rp_cAMPS_C_2_Obs,RIIp_2_Obs
0,0.931622055434659,0.0490425498444058,0.0751530720080814,0.0462141040780137,0.00396597716489725,0.000260149005585506,-0.0328165970279119,0.1373195157219
5,NaN,NaN,NaN,NaN,NaN,NaN,-0.0301746369200336,NaN
6,0.982824295469381,NaN,NaN,NaN,NaN,0.000248703954585252,NaN,NaN
6.5,NaN,-0.024104580811927,NaN,0.0503775698011481,NaN,NaN,NaN,0.134566503754156
7,NaN,NaN,NaN,NaN,0.00370385052010063,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,0.000251997142262839,0.00294694176674641,NaN
15,0.911523832126679,0.0757817767717753,NaN,0.0437541827676161,0.00381861512650288,NaN,0.0282181265109523,0.138349201329411
20,1.00948004009316,-0.00864733181295138,0.0727710797130499,0.0477196758951487,NaN,0.000255091909799361,-0.0427740918671232,0.132051911391399
25,NaN,NaN,NaN,NaN,0.0034705491076058,0.000254668240020797,NaN,NaN
30,0.972241736203392,0.00747979950384869,NaN,0.0499719594588188,NaN,NaN,0.0464815237632242,0.136347955999867
35,NaN,NaN,NaN,0.0490043006778473,0.00384734871787535,0.000251654856855432,0.0325365934174949,0.142479376529424
40,1.03232289660047,0.0293954022567958,0.0192849158234704,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,0.00384105702263205,0.000259478200845371,NaN,0.141086482334609
50,NaN,NaN,NaN,0.048949415049734,NaN,NaN,NaN,NaN
60,NaN,NaN,-0.0102302104769434,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.0484693735897052,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,0.0372916673549938,NaN,NaN,NaN,NaN,NaN
150,NaN,NaN,0.0760614565700005,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,0.0107866115146313,NaN,NaN,NaN,NaN,NaN
250,NaN,NaN,0.0264582815643378,NaN,NaN,NaN,NaN,NaN
300,NaN,NaN,0.042088442414232,NaN,NaN,NaN,NaN,NaN
350,NaN,NaN,0.0251415544135382,NaN,NaN,NaN,NaN,NaN
450,NaN,NaN,0.00364349147847724,NaN,NaN,NaN,NaN,NaN
