t,pAC_Obs,RIIp_cAMP_C_2_Obs
0,-0.019540944777366,0.00784275205938067
8,NaN,0.00369109510072082
15,0.0246975853639283,0.00175944571571053
25,NaN,0.00561048161715251
35,-0.0327041448467156,0.00331863985010631
45,NaN,0.00484053754153652
55,-0.019576307388811,0.00374111913784348
70,NaN,0.113533067143346
75,0.0446570870337698,NaN
90,NaN,0.10049354427194
95,0.00781975077325683,NaN
100,-0.0522765547671574,0.0985678435853857
150,0.00555564015354778,0.0958680465091079
200,0.00301772039523504,NaN
250,-0.0488924683916878,NaN
300,-4.89998832707928e-05,NaN
350,0.0473952546478595,NaN
450,-0.0413037901371211,NaN
