t,pAC_Obs,AC_Fsk_Obs
0,0.0442674503513904,-0.0216776711796973
4,0.0329625783754901,NaN
8.5,0.060371373754776,NaN
10,NaN,0.00899301876000219
15,-0.0157091504798279,NaN
20,0.0295338818652141,NaN
25,0.0392482011692054,0.327514930698091
30,0.00737124599571428,NaN
40,0.0205697110812086,0.317351334500167
45,-0.00454874615241138,NaN
50,NaN,0.346859967639034
70,NaN,0.34942861645499
85,NaN,0.338744903640053
100,NaN,0.335016986980269
150,NaN,0.335705658844644
200,NaN,0.347237731776019
250,NaN,0.333177124046215
