t,pSTAT_pSTAT_Obs,nSTAT1_Obs
0,-0.00224623472206176,-0.00212524503045322
5.5,0.327569365742039,NaN
10,0.378566724441283,0.112062893442396
15,0.37380299379235,NaN
20,NaN,0.107396553840921
25,0.363549573081824,NaN
30,0.326144512372166,0.0985969412022425
40,0.225610504901487,0.0720394167714704
45,0.163238125578018,NaN
55,0.0943822077353472,0.028636067350985
70,0.0205890177297062,0.00742376826395993
80,0.0159375857466237,NaN
85,NaN,0.00238991669062945
95,0.00848227464569172,NaN
100,NaN,0.000264870616820689
150,NaN,0.000855365316309885
200,NaN,0.00124689574008066
