t,TGFb_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneA_Obs,geneD_Obs,geneK_Obs
0,-0.365763466248169,-0.479433917942252,-0.231139120697807,-1.097924958763,0.176437009489703,1.10427899757562,0.605934813374274
10,-0.279754709983513,-0.313707043474076,0.453161972534734,-0.414602423769938,1.20757975326527,0.570730912236157,1.0522837788094
20,0.0247255132894937,-0.433945034288015,NaN,-0.17538842842917,NaN,2.03325518491193,NaN
25,NaN,NaN,-0.396516604498116,NaN,1.93735499532432,NaN,1.42463537879904
35,-0.135518577190135,0.421886232653712,0.268524906369122,0.544255220779491,0.215577631088516,1.80930739445941,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.596170692463072
50,0.281245037365134,-0.708345791688042,-0.953826627947692,-0.00325263145387547,0.401122874985964,0.783798636436744,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,1.50954267890052
65,-0.506386111131155,-0.071035860893091,NaN,-0.986588318422959,0.793386872497653,0.73278402011429,NaN
70,NaN,NaN,-0.346704788733595,NaN,NaN,NaN,0.754192164592676
80,-0.104592619883521,NaN,NaN,NaN,NaN,1.36774607394995,NaN
85,NaN,-0.659385303793559,NaN,-0.292578988718743,1.32940058318152,NaN,NaN
90,NaN,NaN,-0.112154047432584,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,1.63283018759218
