t,geneD_Obs,geneF_Obs,geneG_Obs
0,1.27788999692239,-6.54872791699622,0.0350749861973985
40,NaN,8.00654267369158,NaN
70,5.51929804506763,NaN,NaN
75,NaN,NaN,5.23244039022321
80,NaN,5.46027005642835,NaN
100,NaN,12.1395576781734,NaN
150,3.25216121797362,6.97783533965401,5.08945316598962
200,1.94833516820569,8.43772222903239,NaN
250,NaN,11.6715783867669,2.2161552081201
300,2.51659365364694,NaN,3.86635735581435
350,4.26757115731296,9.23666563162629,NaN
400,NaN,6.83238088599269,0.372713358629311
450,6.05719142403585,NaN,NaN
500,NaN,3.07221854912902,NaN
550,5.43635817106984,3.4554693152775,0.976779208043289
650,NaN,3.89949453590891,NaN
700,1.78877291391509,NaN,1.88316819976495
800,NaN,4.54729006551925,NaN
850,1.09006343272641,NaN,1.41000576522923
950,NaN,5.34908373236304,NaN
1000,2.84194431671222,NaN,0.211376322654325
1500,3.38958703119294,NaN,0.648477854248599
