t,TGFb_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneA_Obs,geneD_Obs,geneK_Obs
0,-0.072005889747468,0.389457979103255,0.0801479378573437,0.5766073755505,0.440736987941474,0.79569970186787,0.748708280420796
9,NaN,NaN,0.888840732914175,NaN,NaN,NaN,NaN
10,-0.370336969404274,0.0303927733399473,NaN,NaN,-0.0821470351970897,0.652248840656416,1.00598204022911
15,NaN,NaN,NaN,-0.512394155315123,NaN,NaN,NaN
20,NaN,-0.790785161639812,-0.0640603422000636,NaN,NaN,1.84383490481745,NaN
25,-0.341235162680298,NaN,NaN,-0.149317800142777,0.492543636232114,NaN,0.432690531161247
30,NaN,0.0108320708533669,0.58024340554037,NaN,NaN,NaN,NaN
35,0.0195591590860374,NaN,NaN,NaN,NaN,1.18477023054622,0.650397682671014
40,NaN,NaN,0.40974205562504,-0.0605463175180488,0.868645292586994,NaN,NaN
45,NaN,-0.0201959563936096,NaN,NaN,NaN,NaN,NaN
50,-0.0983743679580239,NaN,0.17233248574853,NaN,NaN,1.50714797090943,0.777822691133034
55,NaN,NaN,NaN,NaN,1.80362873590736,NaN,NaN
60,NaN,0.145301396879306,NaN,-0.705128200319757,NaN,NaN,NaN
65,0.622735115870059,NaN,-1.03049369618196,NaN,NaN,1.10974406154702,NaN
70,NaN,NaN,NaN,NaN,1.17161713233717,NaN,0.709630024974481
75,NaN,0.675349355046114,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,-0.630872881846457,1.00364935992614,NaN,NaN,NaN
85,-0.217374286857665,NaN,NaN,NaN,NaN,1.07163267503608,NaN
90,NaN,NaN,NaN,NaN,-0.00508664496283173,NaN,1.35739506087906
100,NaN,NaN,NaN,0.450713058905183,NaN,NaN,NaN
