t,TGFb_Obs,ppS2_ppS3_S4_Obs,geneA_Obs,geneD_Obs,geneF_Obs,geneG_Obs,geneK_Obs
0,0.889750409646354,0.059147566775781,0.517084553926944,0.723859471797954,4.1599767391196,2.75499314003514,0.592007789974089
40,NaN,NaN,NaN,NaN,10.9958862776174,NaN,NaN
45,NaN,1.13918669987862,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,1.61344049349889,NaN,NaN,6.26874775056927,NaN
65,NaN,NaN,NaN,4.0985238811901,NaN,NaN,NaN
70,0.668791389835362,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.843167125906636
85,NaN,NaN,NaN,NaN,3.00733404298818,NaN,NaN
90,NaN,1.09912933480346,NaN,NaN,NaN,NaN,NaN
100,NaN,NaN,1.25860526985172,NaN,NaN,6.82875571677443,NaN
150,0.287930603956159,0.743115056504764,0.603321029333129,4.16089208097345,12.6869341741555,5.44781109208916,0.851083658098576
200,0.264098590791108,0.742533986931944,1.57852481187428,4.02615439702474,6.97566761190064,NaN,NaN
250,NaN,0.501588723179202,NaN,NaN,9.84654675539431,3.25559954443641,0.85342759638198
300,0.0886419724987226,0.358523408249503,1.90611971335465,5.2330382685554,6.02207422094147,4.52245509494509,0.65165780176527
350,NaN,0.139215320573454,0.647127672192455,2.75926084074076,5.77580478527079,NaN,NaN
400,-0.00361148247382789,NaN,NaN,NaN,NaN,1.16496957526644,0.268852591624003
450,NaN,0.116156493576194,2.2436698748927,4.61961512339211,8.66810164579137,NaN,NaN
500,0.0119718195562645,NaN,NaN,NaN,1.33383501897283,4.63782941361626,-0.0230171617520206
550,NaN,0.443148436779809,0.680145542858778,5.44611411992533,NaN,NaN,NaN
600,0.146874965467029,NaN,NaN,NaN,6.37616783914164,0.723103135106134,NaN
650,NaN,-0.224022861190313,0.927536869553397,NaN,NaN,NaN,0.378337659372461
700,NaN,NaN,NaN,1.92989340448714,NaN,3.35524071347628,NaN
750,-0.068869133658982,0.199082414845721,NaN,NaN,3.35190339736531,NaN,NaN
800,NaN,NaN,2.57609155678387,NaN,NaN,NaN,0.623982414274837
850,NaN,NaN,NaN,2.5041964858841,NaN,NaN,NaN
900,-0.107902944791081,0.0811834887452002,NaN,NaN,-4.01381446809559,2.30942615368085,NaN
950,NaN,NaN,1.25001919524737,NaN,NaN,NaN,NaN
1000,0.0949388410275501,NaN,NaN,2.6829023086681,NaN,-1.3950910651916,0.504415696378548
1500,-0.0455830971568237,NaN,NaN,2.14525500046041,NaN,NaN,0.984573205974602
