t,TGFb_Obs,ppS2_ppS3_S4_Obs,geneA_Obs,geneD_Obs,geneF_Obs,geneG_Obs,geneK_Obs
0,0.922499461978962,0.13909309091423,1.83626533380362,-0.485050983635913,-2.79381022417854,2.36877162773576,1.2993957632084
40,NaN,NaN,NaN,NaN,15.8927874591417,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,10.9332986281569,NaN
65,NaN,1.55902921289911,NaN,NaN,NaN,NaN,NaN
70,0.403584910306061,NaN,1.5857864477836,NaN,NaN,NaN,0.894947300331777
75,NaN,NaN,NaN,0.533285401762424,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,7.12608130769606,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,8.1475139907633,NaN
100,NaN,NaN,NaN,NaN,15.2707521007922,NaN,NaN
150,0.355841996400972,1.27474134464602,2.2471947544419,3.97651156344435,8.06211741323723,11.3902653413168,0.578392073781086
200,0.0823798407781516,0.958315488882402,2.19994354420438,NaN,13.5162930255374,6.79606150679692,0.19209331045602
250,NaN,NaN,NaN,3.89567795309308,8.52315036076709,7.23034586177205,NaN
300,0.118249654736589,0.199295321003251,1.24223238578152,4.44131445201896,10.1676286084138,NaN,0.457789729561516
350,NaN,0.568603475145003,NaN,NaN,NaN,2.5250386973375,NaN
400,0.202384848573017,NaN,2.25698077181708,3.01197584017273,7.17816077656222,-0.488741508906813,0.464587922319725
450,NaN,-0.195843609429719,NaN,NaN,-1.99962334348785,NaN,-0.230094980554364
500,0.0332681540000544,NaN,1.74028415672976,4.65678382933496,NaN,2.65937061476317,NaN
550,NaN,0.115794529356781,NaN,NaN,9.82235802148537,NaN,0.534292701983463
600,NaN,NaN,0.882536800984676,NaN,NaN,-1.31907332084646,NaN
650,0.071244354288772,NaN,NaN,2.35996194948555,8.95455035434106,NaN,NaN
700,NaN,-0.0519501546907482,2.55912933097741,NaN,NaN,NaN,-0.221863218960581
750,0.127394591202156,NaN,NaN,NaN,NaN,-0.289706989279037,NaN
800,NaN,NaN,NaN,3.49382631266195,5.1929042843006,NaN,NaN
850,NaN,0.00153249968140594,0.367446478596431,NaN,NaN,NaN,0.281724069089537
900,NaN,NaN,NaN,NaN,NaN,1.13279540426721,NaN
950,0.12425294996501,NaN,NaN,0.740817279613334,NaN,NaN,NaN
1000,0.0542752930520938,-0.109085246633592,1.28216428983294,1.19755186586991,NaN,NaN,0.245202504413965
1500,0.15633301287438,NaN,1.43187790620918,3.11071120051678,NaN,NaN,0.691118821516132
