t,TGFb_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneA_Obs,geneD_Obs,geneK_Obs
0,-0.456198285932639,-0.00305344570651069,-0.0319032813208342,0.44780057859012,0.370437315227741,1.40002407461629,0.334860422770649
10,0.916651830896945,NaN,-0.297273174516907,0.574807702676861,0.724723452167274,1.41375962362704,NaN
15,NaN,-0.0145937409172521,NaN,NaN,NaN,NaN,1.1490085508796
20,-0.229425604569924,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,0.991594920730933,0.440638593746132,0.75950487040931,1.1952553430323,NaN
30,NaN,0.206965846983955,NaN,NaN,NaN,NaN,1.74752943169803
35,0.868202186076711,NaN,NaN,-0.00986164486189884,NaN,NaN,NaN
40,NaN,NaN,-0.179892960573432,NaN,1.35495227854341,0.777925737807923,NaN
45,-0.657682910103281,0.204420453791851,NaN,NaN,NaN,NaN,0.546745833400391
50,NaN,NaN,NaN,-0.451961039147754,NaN,NaN,NaN
55,NaN,NaN,0.689734591461231,NaN,1.84287305676283,0.192583033688366,NaN
60,0.556339359335685,-0.201588971588224,NaN,NaN,NaN,NaN,0.529838071112613
65,NaN,NaN,NaN,0.396605200855226,NaN,NaN,NaN
70,NaN,NaN,-0.356635305132555,NaN,0.57901006819038,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,1.5371756288629,NaN
80,-0.369206978535726,0.472719982496467,NaN,NaN,NaN,NaN,1.07414173086275
85,NaN,NaN,0.155582550669381,-0.0101702741033593,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,1.34543261297853,NaN,NaN
100,NaN,-0.0971841095352281,-0.47677012873738,NaN,NaN,NaN,0.67643025194474
