t,TGFb_Obs,ppS2_ppS2_S4_Obs,ppS2_ppS3_S4_Obs,ppS3_S4_S4_Obs,geneA_Obs,geneD_Obs,geneK_Obs
0,0.33866469679943,0.591902870863654,0.91693845764073,-0.114777612828626,1.08092438527818,0.930640974971614,1.42367890219419
10,0.000944981387003871,0.674517563275039,NaN,0.486061403514212,1.29066592023232,0.447155151819884,1.41267735587748
15,NaN,NaN,-0.371309021075239,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,0.356537514762358,0.927702123706802,NaN,NaN
25,-0.394046115275434,0.285874225179683,-0.150889746889835,NaN,NaN,1.77913742842644,0.60227180101071
35,NaN,-0.60821833505489,NaN,0.287721890146572,0.691508704830905,NaN,0.223185319363763
40,-0.172601236462094,NaN,0.319177055897879,NaN,NaN,1.21767906959146,NaN
50,NaN,-0.635882570478932,NaN,-0.364258188922118,0.781347351970354,NaN,1.10881190173662
55,-0.504776958216051,NaN,NaN,NaN,NaN,1.0425297002344,NaN
60,NaN,NaN,0.733835281100765,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,-0.566435661934511,1.98516327683424,NaN,1.26787014711504
70,NaN,-0.545442036244814,NaN,NaN,NaN,-0.00451745708775042,NaN
75,0.516137331744686,NaN,-0.755254466736347,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,0.923101556876207,NaN,NaN
85,NaN,NaN,NaN,-0.0575655003643141,NaN,NaN,0.813344771026675
90,NaN,0.329254480060417,NaN,NaN,NaN,NaN,NaN
95,0.316448864207601,NaN,NaN,NaN,NaN,1.16253641854757,NaN
100,NaN,NaN,-0.637099548331169,NaN,NaN,NaN,NaN
