t,geneD_Obs,geneF_Obs,geneG_Obs
0,2.69817845438798,6.05781135351715,-0.91220763097472
40,NaN,10.6950497173593,NaN
45,NaN,NaN,7.35530100832002
65,0.50341413331857,NaN,NaN
75,NaN,12.4789653408273,NaN
90,NaN,NaN,6.02056509943834
100,NaN,9.01721836186814,NaN
150,4.4266547766561,12.4504325819822,4.23345165812309
200,2.38797497933818,11.6355584361963,1.96069459879155
250,NaN,12.2787984937517,2.83090243207434
300,3.75138222053639,8.45133346434135,3.27948256094729
350,3.75439748296505,13.6767414562146,NaN
400,NaN,NaN,1.87835305235582
450,5.44501315174835,9.79560537301992,NaN
500,NaN,7.66946426453065,1.87165575201739
600,6.06526061209034,3.01164292282582,-0.0572597801993264
700,4.64450349297275,-2.0372388870769,1.24129690217784
850,NaN,2.0488989638716,NaN
900,6.20300756591216,NaN,0.50585668674112
1000,4.27964747436311,NaN,NaN
1500,0.374861960753554,NaN,NaN
