t,TGFb_Obs,ppS2_ppS3_S4_Obs,geneA_Obs,geneD_Obs,geneF_Obs,geneG_Obs,geneK_Obs
0,0.716120174156497,0.307398768541767,0.930598301513721,2.10604000814426,-7.06725743749523,0.680179234240279,0.725644675420811
45,NaN,NaN,NaN,NaN,11.6254831107424,NaN,NaN
55,0.791383002041723,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,9.47932293807816,NaN
65,NaN,1.71504397070835,2.10359077001179,2.08339132177524,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.732982984482367
95,NaN,NaN,NaN,NaN,24.512355889738,NaN,NaN
100,0.673274646349085,NaN,NaN,NaN,NaN,9.88604891309528,NaN
150,0.322603902886282,1.57357045927314,2.65558220533056,4.98155364320524,18.2557286669608,NaN,0.591243363693473
200,NaN,1.6416543464631,1.03596760066262,-0.00101421612885666,16.6513917970751,5.85105040219884,NaN
250,0.185283392303485,NaN,NaN,NaN,11.396734626483,3.73283623273719,0.419294382891814
300,0.0944431521442102,0.708502575317571,1.77630811057256,4.86810751140132,16.1571781705288,NaN,0.287967162384283
350,NaN,0.298841242663039,1.32792066146949,1.9780224103713,NaN,0.696416004819264,NaN
400,0.0119925312262927,NaN,NaN,NaN,9.73944613980841,NaN,0.114416336531774
450,-0.0263665924775668,0.552155636322053,0.857217636013166,3.7820749057887,8.14237049461546,3.24472378804665,NaN
550,NaN,NaN,NaN,7.58375899404938,7.13982297952022,3.269036007696,0.252859498868742
600,-0.192098114967422,0.28120652413826,2.03547574310449,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,13.1552852462331,0.911837657394917,0.560919061039898
700,-0.00702492705836815,-0.00322497311305781,NaN,5.0165087094446,NaN,NaN,NaN
750,NaN,NaN,1.38527708819039,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,2.30761872013617,2.64374434966474,0.0763143772470384
850,-0.00983526529849494,0.165086102064192,NaN,6.14193893869665,NaN,NaN,NaN
900,NaN,NaN,1.60283148452931,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,5.57393169423364,NaN,NaN
1000,-0.00744059434038594,0.0312333066184553,1.79744415597048,1.76238058174014,NaN,1.09632917463044,0.453959610038255
1500,NaN,-0.213417686096615,NaN,0.610715395670266,NaN,NaN,0.967011648118692
