t,K27me0K36me0_Obs,K27me1K36me0_Obs,K27me3K36me0_Obs,K27me1K36me3_Obs,K27me3K36me1_Obs,K27me2K36me3_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,0.00198552592579327,0.00185681542118286,0.00120350301461093,0.181378396747586,0.00108104403476561,0.002782622299332,0.088616485874873,0.0126823312422249,0.21424903715793,0.577159443817091,0.0374553477269166,0.220837290225178,0.24395273680043,0.259395689571701,0.236159329446273
0.35,8.58500347465891e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.75,5.45504521108267e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,7.1058006848645e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,-3.27143268550665e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,3.39425787955823e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,2.49022490197825e-05,0.00146659094432577,NaN,NaN,NaN,NaN,NaN,NaN,0.263913882886372,NaN,NaN,0.213911146001345,NaN,NaN,0.323808464278954
3.5,-3.01079628806927e-05,NaN,NaN,NaN,NaN,NaN,NaN,0.0104855376558989,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,0.00114229775776986,0.19664499808471,0.00107344572148981,0.00254417388249219,0.0756820041677007,NaN,NaN,NaN,NaN,NaN,NaN,0.166149375804663,NaN
4.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.649811651025977,0.0271629869581258,NaN,0.370663076464097,NaN,NaN
5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.246323598615514
6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.23277784774961,NaN,NaN,0.186285176010568,NaN,NaN,NaN
6.5,NaN,0.00191010537757546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01058969078249,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,0.00113135664607178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,0.166716666483597,0.00109972491484059,NaN,0.0684216624807561,NaN,NaN,NaN,NaN,NaN,NaN,0.256246826392272,NaN
8.5,NaN,NaN,NaN,NaN,NaN,0.0032593235473852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.254728121631207
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.227247501080883,0.717025755945896,0.0429383049574724,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.244011103189205,0.218411961829805,NaN,NaN
10,NaN,0.00156503741722197,0.00107530736672105,NaN,0.00118538455875151,NaN,0.0540577438832177,0.00791545167741988,0.186211491753522,NaN,NaN,NaN,NaN,NaN,0.280676998161343
15,NaN,0.00199252589851474,0.00111176401151626,0.230061999853723,NaN,0.0032819127255028,NaN,0.0109049405673445,0.276963640267523,0.733183249538544,0.0472630756607427,0.244050923257579,0.280149111731203,0.212754614867788,0.207563893565841
20,NaN,0.00114327477109051,0.00130199638887878,0.267041971706465,0.00108358888859189,0.00247147035836041,0.0457951970974637,0.0127826457745333,0.229636087976335,0.508326021112161,0.0338190908345477,0.248690353133179,0.268282370915665,0.287073050696736,0.318161056523512
25,NaN,0.00140160239209401,0.000884074049807587,0.247457064117783,0.00126578863970024,0.00398881019415201,0.0288665772641675,0.0108638435917515,0.26492831196535,NaN,0.0429540548020181,0.294753714901407,NaN,0.278532543399349,0.310406122772886
30,NaN,0.0015580043305065,NaN,0.273716955339084,0.00135683893210812,0.00319428646125475,0.0255296770796868,0.00691417032656602,0.279182149854372,0.769549329688994,NaN,0.261887867622191,0.258262001702603,0.224640340941658,0.258177409627879
35,NaN,NaN,0.00125807349538282,NaN,NaN,NaN,NaN,0.0124217336534928,0.242206155560798,0.866382747704126,0.0307653610703954,0.276642731037989,0.269939553830007,NaN,0.288180436538306
40,NaN,0.00223166639949566,0.000861399730811658,0.276278922894739,0.00126791466893155,0.00279855232334908,0.0150080364807039,NaN,NaN,NaN,NaN,NaN,NaN,0.276353146251978,NaN
45,NaN,0.00218263823968365,NaN,NaN,NaN,NaN,NaN,0.00937221606350586,0.243741415391912,NaN,0.0395403807269055,0.285204350662332,NaN,NaN,0.282604398263495
50,NaN,NaN,0.00129313160851216,0.266419314905116,NaN,0.00378775345380567,0.0192388506711924,0.00940996463637373,0.257394375089677,0.674478010926552,NaN,0.338149485915043,0.2946151477978,0.262022714516347,0.294914806218007
55,NaN,0.00184161862830977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.00221726178502931,0.000930789207909753,0.26846254304278,NaN,0.00325725417636321,0.00584939216494829,0.0100465858446286,0.293725713544353,0.765835473158088,0.0317126671961744,0.222300645815524,0.247043899050598,0.220087152752622,0.278709866574057
