t,PKD_Obs,PKDDAGa_Obs,Compound_1_Obs
0,175035.618497987,35.7145851686655,5331494.68839071
2,NaN,37.0855161515384,NaN
2.5,NaN,NaN,7096496.22030777
4,173489.844200144,38.1015694781676,NaN
5.5,NaN,NaN,8867155.50125688
6,NaN,38.7553321757582,NaN
8,171900.76440202,NaN,11891684.4380798
8.5,NaN,40.2217239625247,NaN
10,170812.919330292,38.6267616925514,15422236.322169
15,172688.276017432,40.6385941022146,19109029.0707754
20,174639.133755153,42.2125369761516,28814289.4519078
25,NaN,33.0365231526372,29574074.319226
30,170746.603887705,32.2030595014985,37107888.4067148
35,174610.730649638,NaN,NaN
40,172930.935583636,NaN,45013995.2919357
45,NaN,NaN,49188295.3713831
50,177258.639946681,NaN,NaN
55,NaN,NaN,56011249.1626714
65,180134.141097089,NaN,62177727.8796246
