t,IL13_Rec_Obs,JAK2_Obs,DecoyR_Obs,CD274mRNA_Obs
0,7.53993823150231e-07,1.36754159384149,0.0625450694737218,0
3,NaN,NaN,0.0312740159497635,NaN
6.5,NaN,NaN,0.784632322900755,NaN
10,NaN,NaN,0.0265585471589771,17.8099496761772
15,9.17119908801542e-05,0.5936450713004,0.024104607137816,NaN
20,NaN,NaN,0.0226778405547787,NaN
25,NaN,NaN,0.00414362744713642,6.80227686604975
30,NaN,0.969036779396738,NaN,NaN
35,6.6322219253679e-05,NaN,0.00291996901215236,216.732141366782
40,NaN,NaN,0.00197090673199936,NaN
45,NaN,9.88769579632387,0.00140422052413334,NaN
50,NaN,NaN,NaN,469.338137990986
55,0.000652429834723457,NaN,6.44999452726447e-05,NaN
65,NaN,11.3438751761488,NaN,600.60890851947
75,0.000108879576892783,NaN,NaN,NaN
80,NaN,NaN,NaN,243.160198363029
85,NaN,0.727857608327244,NaN,NaN
95,0.000114654135514549,NaN,NaN,285.404909094836
100,4.96161981353397e-05,0.398729761583111,NaN,462.66797679963
150,3.31616078111253e-05,1.13898834237862,NaN,680.114009903529
200,4.2628313415358e-05,0.346854849250666,NaN,1137.96831458971
250,0.000366590400728968,5.484870894321,NaN,160.458862801935
300,0.000254316875407332,1.89386780074543,NaN,350.260933179384
