t,CD274mRNA_Obs,Rec_Obs,Rec_i_Obs
0,0,3.21303537844592,14.7837729310125
3,NaN,NaN,226.655202521823
3.5,0,0.242196735682745,NaN
6.5,NaN,NaN,116.35864781265
7,0,5.86580103727477,NaN
10,0,0.673015652810909,52.0208745269391
15,0,5.11548624899314,642.500268079888
20,0,6.86446026621097,253.164185244839
25,0,0.507239356429653,3729.88623194061
30,0,11.1482930524958,757.364185893103
35,0,3.72980471466624,NaN
40,0,NaN,65.2092634611855
45,NaN,5.64996477034515,166.12933617005
50,0,NaN,NaN
55,NaN,0.934444069566414,789.74713745301
60,0,NaN,NaN
65,NaN,1.93746082752298,69.0895871452593
