t,X_protein_Obs,Z_protein_Obs,X_mRNA_Obs
0,-31.4865369774125,186.701824411115,220.4767163598
20,7013.51747433422,NaN,-2.85695554629373
30,NaN,12353.6009095997,NaN
40,NaN,NaN,-1.0309954184222
45,4070.17169102712,NaN,NaN
60,NaN,NaN,2.49222484230459
65,NaN,5805.42842877532,NaN
70,2360.0798481955,NaN,NaN
85,NaN,NaN,-0.549117100830287
95,1312.21005650278,NaN,NaN
100,1488.02626612684,2735.63025337605,-3.88231977626898
150,661.898161021542,1783.83124860741,1.77344719850799
200,807.390136798102,1288.39221928901,0.827529329951874
250,1335.54750399712,NaN,-1.27743714872497
300,1181.80115973084,571.025322580954,1.62478473760756
350,484.773288668249,961.286822233952,NaN
400,NaN,342.627172816701,NaN
450,835.132384188909,NaN,NaN
500,NaN,664.113532330429,NaN
