t,K27me0K36me2_Obs,K27me2K36me0_Obs,K27me0K36me3_Obs,K27me3K36me0_Obs,K27me3K36me1_Obs
0,0.099317013761863,0.0046007334256828,0.0825629304160781,0.00497827958084638,0.000936720675238838
3.5,NaN,NaN,0.0746025728904809,0.00460623945197398,NaN
4,0.0849598258615166,0.0040694192475393,NaN,NaN,0.00133157283338506
7,NaN,NaN,0.0664967510231139,0.00311950782883955,NaN
8,0.0663995288157432,0.0042650534008616,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.00120434609535801
10,NaN,NaN,0.0783319617352228,0.00476023407438157,NaN
15,0.0419185755331856,0.00378450134668583,0.0734105656905875,0.00396316761345396,0.00120348174453657
20,0.0343492887715361,0.00405621699858316,0.0715216780781013,0.00488737690786625,0.000977849119701632
25,0.0159160253343418,0.00366539066318291,0.0705659779349723,0.00362487839683854,0.00106539233042761
30,0.0203246360125596,0.00303283770790433,0.047452182249548,0.00421469475638837,0.00104786163809502
35,NaN,NaN,NaN,0.00394635447798682,NaN
40,0.00303758400367622,0.00238532396886014,0.0506980808072615,NaN,0.000787822031420016
45,NaN,NaN,NaN,0.00410946747778638,NaN
50,0.000369380737921741,0.00376852044882431,0.0321939411336775,0.00479721132189637,0.00106381271485997
60,0.00544453518701236,0.00280035916107698,0.0328239358336574,0.00354659325950541,0.00132698150902381
