t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,42063975.6203125,10031.0629311197,1.15791549557392e-07,180.502837799418,0,0.0239847344540069
35,NaN,13697176.6016713,NaN,NaN,NaN,NaN
40,5552551.68119555,NaN,NaN,NaN,NaN,NaN
70,NaN,23833053.7578484,NaN,NaN,NaN,NaN
80,2141214.2555529,NaN,NaN,NaN,NaN,NaN
100,NaN,6039306.05950004,0.0004254706833005,NaN,NaN,NaN
150,72692.8820083425,2262324.9455463,NaN,119.578388015889,NaN,NaN
200,54214.461303667,370993.467889623,NaN,NaN,NaN,NaN
250,3593.26362559989,79370.5093316247,4.5537176502873e-05,NaN,NaN,NaN
300,5936.6304026294,26784.1097881865,NaN,83.2854298739154,NaN,0.00789675725095693
350,NaN,32026.6626880836,3.04499520120298e-06,NaN,NaN,NaN
400,3288.75593728055,12911.1431041689,NaN,NaN,1.53745551433e-06,NaN
450,NaN,NaN,NaN,133.47759407702,NaN,NaN
500,NaN,11935.7451693384,2.45149723178885e-06,NaN,NaN,NaN
550,NaN,18571.0946134431,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,0.0635365093813282
650,NaN,NaN,NaN,73.6738669862076,NaN,NaN
700,NaN,16533.3203336082,1.97779746161522e-06,NaN,NaN,NaN
850,NaN,NaN,NaN,114.279535214996,6.43245999132509e-06,NaN
900,NaN,NaN,1.27188419755118e-06,NaN,NaN,0.0208788128982869
1000,NaN,NaN,NaN,302.98511265874,NaN,NaN
1500,NaN,NaN,NaN,335.70874124883,2.91734981921707e-06,0.0428869999461202
2000,NaN,NaN,NaN,284.37268357322,8.52233008820385e-06,0.0240799456998517
2500,NaN,NaN,NaN,150.295200508636,6.49955446009636e-06,0.0331530830304669
3000,NaN,NaN,NaN,165.336175953801,5.08058668250368e-06,0.00972805668142096
4000,NaN,NaN,NaN,NaN,3.74468061069479e-06,NaN
4500,NaN,NaN,NaN,NaN,1.66175184521028e-06,NaN
6000,NaN,NaN,NaN,NaN,1.20520238498215e-06,NaN
7000,NaN,NaN,NaN,NaN,9.39221971662057e-07,NaN
8500,NaN,NaN,NaN,NaN,9.93188092627626e-07,NaN
