t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,S6_Obs,pS6_Obs,Compound_1_Obs
0,68581420.8088771,841.148631553027,3.88067923222424e-08,213.557380567227,0,0.0149334853320706
75,NaN,NaN,NaN,115.406908998301,NaN,NaN
100,63736633.8329012,426488.114628188,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,137.670820197191,NaN,NaN
250,33923230.5308315,975034.766250763,0.000271439070333858,697.105178121563,NaN,NaN
300,NaN,NaN,NaN,248.178821713309,NaN,NaN
350,3534133.78882346,326192.61873815,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,9.49550791587907e-07,0.00692967849262578
450,NaN,NaN,0.000174163920687583,685.106920380619,NaN,NaN
500,8472121.99255751,93689.0663167371,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,133.48917126631,NaN,NaN
600,NaN,461427.156069313,NaN,NaN,NaN,NaN
700,2705003.80737578,NaN,NaN,347.779242315068,NaN,NaN
750,NaN,104379.44917173,5.44366394902034e-05,NaN,4.61515200290004e-06,NaN
800,NaN,NaN,NaN,NaN,NaN,0.00899036053493255
900,2211255.50948313,NaN,NaN,334.087475637324,NaN,NaN
950,NaN,58183.4239402417,NaN,NaN,NaN,NaN
1000,1676176.42595472,52289.8776906934,1.01073648936543e-05,264.285348502484,2.92104749883347e-06,NaN
1500,273746.58083961,5245.16078050519,3.44630095877718e-06,NaN,6.00007860193112e-06,0.00923791511115231
2000,66283.1084290672,3269.7838526971,1.68374716345752e-06,NaN,3.76062022731751e-06,NaN
2500,NaN,1639.33138789087,4.23484845603481e-07,NaN,2.74783233100389e-06,0.0168486797325295
3000,NaN,NaN,1.52604955145991e-06,NaN,1.060647954579e-05,0.0361910035210885
3500,NaN,NaN,NaN,NaN,3.53608637295613e-06,0.0159210352325867
4500,NaN,NaN,NaN,NaN,4.45537639096335e-06,0.0129682150845924
5000,NaN,NaN,NaN,NaN,2.74502366553631e-06,NaN
5500,NaN,NaN,NaN,NaN,NaN,0.0158358934582251
6000,NaN,NaN,NaN,NaN,1.47754427173469e-06,NaN
7500,NaN,NaN,NaN,NaN,2.12924012680302e-06,NaN
8500,NaN,NaN,NaN,NaN,8.70051116292215e-07,NaN
